,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Desmond Ridder,ARI,QB,201,1,1,6.7,5,16,3.2,0,0,0,0.0,0,0,0,0,0
Calvin Ridley,TEN,WR,0,0,0,0.0,6,34,5.7,0,72,979,13.6,6,0,0,0,0
Ronnie Rivers,LAR,RB,0,0,0,0.0,55,231,4.2,2,9,66,7.3,0,0,0,0,0
Bijan Robinson,ATL,RB,0,0,0,0.0,244,1122,4.6,8,47,365,7.8,2,0,0,0,0
Brian Robinson,WAS,RB,0,0,0,0.0,176,711,4.0,5,22,162,7.4,1,0,0,0,0
Wan'Dale Robinson,NYG,WR,0,0,0,0.0,10,55,5.5,0,58,593,10.2,4,0,0,0,0
Demarcus Robinson,LAR,WR,0,0,0,0.0,1,7,7.0,0,31,389,12.5,3,0,0,0,0
Allen Robinson,FA,WR,0,0,0,0.0,1,4,4.0,0,11,113,10.3,1,0,0,0,0
Aaron Rodgers,NYJ,QB,3897,27,9,7.2,32,96,3.0,1,0,0,0.0,0,0,0,0,0
Chris Rodriguez,WAS,RB,0,0,0,0.0,71,291,4.1,2,9,65,7.2,0,0,0,0,0
Marcus Rosemy-Jacksaint,FA,WR,0,0,0,0.0,1,6,6.0,0,10,126,12.6,1,0,0,0,0
Justyn Ross,KC,WR,0,0,0,0.0,0,0,0.0,0,8,103,12.9,1,0,0,0,0
Jeremy Ruckert,NYJ,TE,0,0,0,0.0,0,0,0.0,0,18,189,10.5,1,0,0,0,0
Mason Rudolph,TEN,QB,223,1,1,7.0,1,4,4.0,0,0,0,0.0,0,0,0,0,0
Cooper Rush,DAL,QB,219,1,1,7.1,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Chad Ryland,NE,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Drew Sample,CIN,TE,0,0,0,0.0,0,0,0.0,0,6,66,11.0,0,0,0,0,0
Deebo Samuel,SF,WR,0,0,0,0.0,40,238,6.0,3,63,895,14.2,6,71,0,0,0
Curtis Samuel,FA,WR,0,0,0,0.0,12,70,5.8,1,46,479,10.4,3,0,0,0,0
Jason Sanders,MIA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Miles Sanders,CAR,RB,0,0,0,0.0,69,283,4.1,2,9,65,7.2,0,0,0,0,0
Ja'Tavion Sanders,FA,TE,0,0,0,0.0,0,0,0.0,0,35,385,11.0,3,0,0,0,0
Cairo Santos,CHI,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Luke Schoonmaker,DAL,TE,0,0,0,0.0,0,0,0.0,0,8,87,10.9,1,0,0,0,0
Cody Schrader,FA,RB,0,0,0,0.0,40,169,4.2,1,4,30,7.5,0,0,0,0,0
Dalton Schultz,HOU,TE,0,0,0,0.0,0,0,0.0,0,60,633,10.6,5,0,0,0,0
Boston Scott,FA,RB,0,0,0,0.0,25,105,4.2,1,2,15,7.5,0,0,0,0,0
Tyler Scott,CHI,WR,0,0,0,0.0,7,38,5.4,0,28,327,11.7,2,137,0,18,0
Trey Sermon,FA,RB,0,0,0,0.0,16,67,4.2,0,2,11,5.5,0,0,0,0,0
Rashid Shaheed,NO,WR,0,0,0,0.0,8,50,6.3,0,50,680,13.6,4,412,0,267,0
Khalil Shakir,BUF,WR,0,0,0,0.0,1,7,7.0,0,59,682,11.6,5,113,0,64,0
Laviska Shenault,FA,WR,0,0,0,0.0,11,52,4.7,0,6,69,11.5,0,160,0,0,0
Trent Sherfield,FA,WR,0,0,0,0.0,1,4,4.0,0,13,167,12.8,1,0,0,0,0
Will Shipley,FA,RB,0,0,0,0.0,51,208,4.1,2,6,44,7.3,0,0,0,0,0
Trevor Siemian,FA,QB,92,0,0,6.6,1,4,4.0,0,0,0,0.0,0,0,0,0,0
Devin Singletary,NYG,RB,0,0,0,0.0,182,764,4.2,5,29,211,7.3,1,0,0,0,0
Ben Sinnott,FA,TE,0,0,0,0.0,0,0,0.0,0,32,341,10.7,3,0,0,0,0
Ben Skowronek,LAR,WR,0,0,0,0.0,1,4,4.0,0,9,111,12.3,1,0,0,0,0
Darius Slayton,NYG,WR,0,0,0,0.0,1,5,5.0,0,38,550,14.5,3,0,0,0,0
Joey Slye,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Stone Smartt,LAC,TE,0,0,0,0.0,0,0,0.0,0,8,87,10.9,1,0,0,0,0
DeVonta Smith,PHI,WR,0,0,0,0.0,1,6,6.0,0,87,1062,12.2,6,0,0,0,0
Ainias Smith,FA,WR,0,0,0,0.0,1,6,6.0,0,11,141,12.8,1,0,0,0,0
Irv Smith,KC,TE,0,0,0,0.0,0,0,0.0,0,11,116,10.5,1,0,0,0,0
Geno Smith,SEA,QB,3873,25,11,7.3,35,147,4.2,1,0,0,0.0,0,0,0,0,0
Jonnu Smith,MIA,TE,0,0,0,0.0,0,0,0.0,0,18,182,10.1,1,0,0,0,0
Jaxon Smith-Njigba,SEA,WR,0,0,0,0.0,2,10,5.0,0,68,738,10.9,5,0,0,0,0
Juju Smith-Schuster,NE,WR,0,0,0,0.0,1,5,5.0,0,34,355,10.4,2,0,0,0,0
Durham Smythe,MIA,TE,0,0,0,0.0,0,0,0.0,0,22,226,10.3,2,0,0,0,0
Tyjae Spears,TEN,RB,0,0,0,0.0,144,618,4.3,4,44,312,7.1,2,232,0,0,0
Isaiah Spiller,LAC,RB,0,0,0,0.0,35,147,4.2,1,5,37,7.4,0,0,0,0,0
Amon-Ra St. Brown,DET,WR,0,0,0,0.0,6,36,6.0,0,111,1285,11.6,8,0,0,0,0
Equanimeous St. Brown,FA,WR,0,0,0,0.0,1,4,4.0,0,7,91,13.0,1,0,0,0,0
Matthew Stafford,LAR,QB,4211,28,14,7.5,16,68,4.3,1,0,0,0.0,0,0,0,0,0
Rhamondre Stevenson,NE,RB,0,0,0,0.0,215,907,4.2,6,32,236,7.4,1,0,0,0,0
