,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Israel Abanikanda,NYJ,RB,0,0,0,0.0,59,246,4.2,2,9,68,7.6,0,0,0,0,0
Ameer Abdullah,LV,RB,0,0,0,0.0,11,46,4.2,0,9,68,7.6,0,0,0,0,0
De'Von Achane,MIA,RB,0,0,0,0.0,199,975,4.9,8,40,319,8.0,2,0,0,0,0
Davante Adams,LV,WR,0,0,0,0.0,1,5,5.0,0,89,1083,12.2,7,0,0,0,0
Jordan Addison,MIN,WR,0,0,0,0.0,3,19,6.3,0,73,1012,13.9,6,0,0,0,0
Nelson Agholor,BAL,WR,0,0,0,0.0,1,4,4.0,0,13,167,12.8,1,0,0,0,0
Jamal Agnew,FA,WR,0,0,0,0.0,5,26,5.2,0,11,151,13.7,1,366,0,303,0
Salvon Ahmed,MIA,RB,0,0,0,0.0,15,63,4.2,0,9,64,7.1,0,0,0,0,0
Brandon Aiyuk,SF,WR,0,0,0,0.0,1,5,5.0,0,76,1113,14.6,7,0,0,0,0
Cam Akers,FA,RB,0,0,0,0.0,44,172,3.9,1,3,23,7.7,0,0,0,0,0
Jordan Akins,CLE,TE,0,0,0,0.0,0,0,0.0,0,8,80,10.0,1,0,0,0,0
Rasheen Ali,FA,RB,0,0,0,0.0,31,127,4.1,1,6,43,7.2,0,0,0,0,0
Mo Alie-Cox,IND,TE,0,0,0,0.0,0,0,0.0,0,10,107,10.7,1,0,0,0,0
Josh Allen,BUF,QB,4221,32,14,7.4,108,551,5.1,9,0,0,0.0,0,0,0,0,0
Keenan Allen,LAC,WR,0,0,0,0.0,2,10,5.0,0,86,984,11.4,7,0,0,0,0
Kyle Allen,FA,QB,186,1,1,6.6,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Davis Allen,LAR,TE,0,0,0,0.0,0,0,0.0,0,13,132,10.2,1,0,0,0,0
Braelon Allen,FA,RB,0,0,0,0.0,62,253,4.1,2,7,51,7.3,0,0,0,0,0
Tyler Allgeier,ATL,RB,0,0,0,0.0,133,559,4.2,4,18,131,7.3,1,0,0,0,0
Matt Ammendola,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Mark Andrews,BAL,TE,0,0,0,0.0,0,0,0.0,0,68,864,12.7,7,0,0,0,0
Tutu Atwell,LAR,WR,0,0,0,0.0,3,17,5.7,0,19,242,12.7,1,0,0,0,0
Brandon Aubrey,DAL,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Calvin Austin,PIT,WR,0,0,0,0.0,7,42,6.0,0,23,247,10.7,1,458,0,249,0
Michael Badgley,DET,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyson Bagent,CHI,QB,188,1,1,6.5,6,29,4.8,0,0,0,0.0,0,0,0,0,0
Emani Bailey,FA,RB,0,0,0,0.0,29,121,4.2,1,4,30,7.5,0,0,0,0,0
Javon Baker,FA,WR,0,0,0,0.0,2,12,6.0,0,22,268,12.2,2,0,0,0,0
Saquon Barkley,PHI,RB,0,0,0,0.0,261,1157,4.4,7,44,331,7.5,2,0,0,0,0
AJ Barner,FA,TE,0,0,0,0.0,0,0,0.0,0,14,150,10.7,1,0,0,0,0
Tyler Bass,BUF,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Rashod Bateman,BAL,WR,0,0,0,0.0,1,5,5.0,0,42,532,12.7,3,0,0,0,0
John Bates,WAS,TE,0,0,0,0.0,0,0,0.0,0,5,51,10.2,0,0,0,0,0
C.J. Beathard,JAX,QB,186,1,1,6.6,4,15,3.8,0,0,0,0.0,0,0,0,0,0
Odell Beckham,FA,WR,0,0,0,0.0,1,5,5.0,0,26,325,12.5,2,0,0,0,0
David Bell,CLE,WR,0,0,0,0.0,1,5,5.0,0,19,197,10.4,1,0,0,0,0
Jaheim Bell,FA,TE,0,0,0,0.0,0,0,0.0,0,23,253,11.0,2,0,0,0,0
Ronnie Bell,SF,WR,0,0,0,0.0,1,5,5.0,0,15,192,12.8,1,0,0,0,0
Daniel Bellinger,NYG,TE,0,0,0,0.0,0,0,0.0,0,13,138,10.6,1,0,0,0,0
Stetson Bennett,LAR,QB,92,1,0,7.1,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Trey Benson,FA,RB,0,0,0,0.0,124,519,4.2,4,20,145,7.3,1,0,0,0,0
Braxton Berrios,FA,WR,0,0,0,0.0,2,12,6.0,0,21,213,10.1,1,412,0,258,0
Tank Bigsby,JAX,RB,0,0,0,0.0,62,260,4.2,2,9,65,7.2,0,92,0,0,0
Raheem Blackshear,CAR,RB,0,0,0,0.0,13,55,4.2,0,9,68,7.6,0,321,0,9,0
Rodrigo Blankenship,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jake Bobo,SEA,WR,0,0,0,0.0,1,5,5.0,0,25,307,12.3,2,0,0,0,0
Brandon Bolden,FA,RB,0,0,0,0.0,4,17,4.3,0,1,6,6.0,0,0,0,0,0
Chris Boswell,PIT,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Kendrick Bourne,NE,WR,0,0,0,0.0,2,12,6.0,0,39,493,12.6,3,0,0,0,0
Kayshon Boutte,NE,WR,0,0,0,0.0,2,10,5.0,0,26,325,12.5,2,0,0,0,0
Brock Bowers,FA,TE,0,0,0,0.0,0,0,0.0,0,61,690,11.3,5,0,0,0,0
Tyler Boyd,FA,WR,0,0,0,0.0,2,9,4.5,0,54,561,10.4,3,0,0,0,0
Matt Breida,FA,RB,0,0,0,0.0,19,80,4.2,1,3,23,7.7,0,0,0,0,0
Teddy Bridgewater,FA,QB,212,1,1,7.1,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Jacoby Brissett,NE,QB,855,5,3,7.1,8,34,4.3,1,0,0,0.0,0,0,0,0,0
Jonathon Brooks,FA,RB,0,0,0,0.0,149,639,4.3,5,20,148,7.4,1,0,0,0,0
Chase Brown,CIN,RB,0,0,0,0.0,117,494,4.2,4,32,241,7.5,1,0,0,0,0
Dyami Brown,WAS,WR,0,0,0,0.0,1,4,4.0,0,14,175,12.5,1,0,0,0,0
Noah Brown,HOU,WR,0,0,0,0.0,1,5,5.0,0,33,451,13.7,3,0,0,0,0
Pharaoh Brown,SEA,TE,0,0,0,0.0,0,0,0.0,0,7,73,10.4,1,0,0,0,0
A.J. Brown,PHI,WR,0,0,0,0.0,1,6,6.0,0,89,1351,15.2,8,0,0,0,0
Marquise Brown,FA,WR,0,0,0,0.0,3,14,4.7,0,57,698,12.2,5,0,0,0,0
Jake Browning,CIN,QB,433,3,2,7.0,8,34,4.3,0,0,0,0.0,0,0,0,0,0
Jason Brownlee,NYJ,WR,0,0,0,0.0,1,4,4.0,0,15,184,12.3,1,0,0,0,0
Harrison Bryant,LV,TE,0,0,0,0.0,0,0,0.0,0,15,153,10.2,1,0,0,0,0
Randy Bullock,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Treylon Burks,TEN,WR,0,0,0,0.0,6,34,5.7,0,42,540,12.9,4,0,0,0,0
Joe Burrow,CIN,QB,4515,35,12,7.4,55,176,3.2,2,0,0,0.0,0,0,0,0,0
Jermaine Burton,FA,WR,0,0,0,0.0,1,8,8.0,0,36,452,12.6,3,0,0,0,0
Harrison Butker,KC,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Damiere Byrd,FA,WR,0,0,0,0.0,1,4,4.0,0,4,61,15.3,0,0,0,0,0
Parris Campbell,FA,WR,0,0,0,0.0,1,5,5.0,0,14,152,10.9,1,137,0,18,0
Daniel Carlson,LV,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Anders Carlson,GB,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Derek Carr,NO,QB,3759,23,11,7.1,31,68,2.2,1,0,0,0.0,0,0,0,0,0
Michael Carter,ARI,RB,0,0,0,0.0,30,126,4.2,1,11,79,7.2,0,0,0,0,0
Ty Chandler,MIN,RB,0,0,0,0.0,115,473,4.1,3,22,168,7.6,1,0,0,0,0
Zach Charbonnet,SEA,RB,0,0,0,0.0,144,605,4.2,4,35,254,7.3,1,0,0,0,0
DJ Chark,FA,WR,0,0,0,0.0,1,5,5.0,0,29,389,13.4,2,0,0,0,0
Ja'Marr Chase,CIN,WR,0,0,0,0.0,3,16,5.3,0,105,1367,13.0,8,0,0,0,0
Robbie Chosen,FA,WR,0,0,0,0.0,1,4,4.0,0,9,111,12.3,1,0,0,0,0
Nick Chubb,CLE,RB,0,0,0,0.0,235,1061,4.5,8,19,149,7.8,1,0,0,0,0
Chase Claypool,FA,WR,0,0,0,0.0,1,5,5.0,0,11,143,13.0,1,0,0,0,0
Sean Clifford,GB,QB,205,1,1,7.1,1,4,4.0,0,0,0,0.0,0,0,0,0,0
Randall Cobb,FA,WR,0,0,0,0.0,1,4,4.0,0,11,114,10.4,1,0,0,0,0
Keon Coleman,FA,WR,0,0,0,0.0,1,5,5.0,0,50,675,13.5,5,0,0,0,0
Nico Collins,HOU,WR,0,0,0,0.0,2,10,5.0,0,89,1252,14.1,8,0,0,0,0
Tyler Conklin,NYJ,TE,0,0,0,0.0,0,0,0.0,0,31,304,9.8,2,0,0,0,0
Chris Conley,FA,WR,0,0,0,0.0,1,4,4.0,0,9,111,12.3,1,0,0,0,0
James Conner,ARI,RB,0,0,0,0.0,204,882,4.3,7,33,246,7.5,1,0,0,0,0
Dalvin Cook,FA,RB,0,0,0,0.0,66,278,4.2,2,9,68,7.6,0,0,0,0,0
James Cook,BUF,RB,0,0,0,0.0,201,882,4.4,5,36,279,7.8,2,0,0,0,0
Brandin Cooks,DAL,WR,0,0,0,0.0,3,16,5.3,0,51,640,12.5,4,0,0,0,0
Amari Cooper,CLE,WR,0,0,0,0.0,1,5,5.0,0,75,1102,14.7,7,0,0,0,0
Malachi Corley,FA,WR,0,0,0,0.0,7,41,5.9,0,57,599,10.5,4,0,0,0,0
Blake Corum,FA,RB,0,0,0,0.0,162,680,4.2,5,25,183,7.3,1,0,0,0,0
Kirk Cousins,ATL,QB,4022,26,12,7.4,29,74,2.6,1,0,0,0.0,0,0,0,0,0
Jacob Cowing,FA,WR,0,0,0,0.0,1,6,6.0,0,11,134,12.2,1,0,0,0,0
Mason Crosby,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Devin Culp,FA,TE,0,0,0,0.0,0,0,0.0,0,13,135,10.4,1,0,0,0,0
DeeJay Dallas,ARI,RB,0,0,0,0.0,11,46,4.2,0,5,36,7.2,0,344,0,231,0
Andy Dalton,CAR,QB,208,1,1,6.7,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Jayden Daniels,FA,QB,3344,20,14,6.8,99,528,5.3,4,0,0,0.0,0,0,0,0,0
Sam Darnold,MIN,QB,871,5,3,6.9,16,55,3.4,1,0,0,0.0,0,0,0,0,0
Corey Davis,FA,WR,0,0,0,0.0,0,0,0.0,0,7,88,12.6,1,0,0,0,0
Gabe Davis,JAX,WR,0,0,0,0.0,1,5,5.0,0,51,747,14.6,5,0,0,0,0
Ray Davis,FA,RB,0,0,0,0.0,94,388,4.1,2,18,132,7.3,1,0,0,0,0
Isaiah Davis,FA,RB,0,0,0,0.0,31,131,4.2,1,4,29,7.3,0,0,0,0,0
Derius Davis,LAC,WR,0,0,0,0.0,5,30,6.0,0,12,151,12.6,1,412,0,231,0
Malik Davis,DAL,RB,0,0,0,0.0,13,55,4.2,0,3,23,7.7,0,0,0,0,0
Tyrion Davis-Price,PHI,RB,0,0,0,0.0,8,34,4.3,0,1,6,6.0,0,0,0,0,0
Josiah Deguara,FA,TE,0,0,0,0.0,0,0,0.0,0,5,51,10.2,0,0,0,0,0
Tank Dell,HOU,WR,0,0,0,0.0,12,69,5.8,0,81,1022,12.6,7,0,0,0,0
Emari Demercado,ARI,RB,0,0,0,0.0,66,276,4.2,2,21,153,7.3,1,0,0,0,0
Tommy DeVito,NYG,QB,210,1,1,7.0,4,17,4.3,0,0,0,0.0,0,0,0,0,0
Cameron Dicker,LAC,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Stefon Diggs,BUF,WR,0,0,0,0.0,1,5,5.0,0,92,1075,11.7,7,0,0,0,0
AJ Dillon,FA,RB,0,0,0,0.0,96,391,4.1,3,12,95,7.9,1,0,0,0,0
Will Dissly,LAC,TE,0,0,0,0.0,0,0,0.0,0,10,102,10.2,1,0,0,0,0
J.K. Dobbins,FA,RB,0,0,0,0.0,57,238,4.2,2,8,54,6.8,1,0,0,0,0
Joshua Dobbs,FA,QB,190,1,1,6.8,5,26,5.2,0,0,0,0.0,0,0,0,0,0
Greg Dortch,ARI,WR,0,0,0,0.0,5,23,4.6,0,50,499,10.0,3,544,0,410,0
Jahan Dotson,WAS,WR,0,0,0,0.0,2,10,5.0,0,50,647,12.9,4,0,0,0,0
Elijah Dotson,LAC,RB,0,0,0,0.0,19,80,4.2,1,3,23,7.7,0,0,0,0,0
Romeo Doubs,GB,WR,0,0,0,0.0,1,5,5.0,0,62,777,12.5,5,0,0,0,0
Demario Douglas,NE,WR,0,0,0,0.0,5,35,7.0,0,59,649,11.0,4,65,0,84,0
Rico Dowdle,FA,RB,0,0,0,0.0,71,298,4.2,2,14,100,7.1,1,137,0,0,0
Josh Downs,IND,WR,0,0,0,0.0,3,20,6.7,0,60,666,11.1,4,117,0,19,0
Kenyan Drake,FA,RB,0,0,0,0.0,21,88,4.2,1,2,15,7.5,0,0,0,0,0
Greg Dulcich,DEN,TE,0,0,0,0.0,0,0,0.0,0,24,248,10.3,2,0,0,0,0
Ashton Dulin,IND,WR,0,0,0,0.0,1,4,4.0,0,9,102,11.3,1,0,0,0,0
Payne Durham,TB,TE,0,0,0,0.0,0,0,0.0,0,13,131,10.1,1,0,0,0,0
Devin Duvernay,JAX,WR,0,0,0,0.0,2,12,6.0,0,5,64,12.8,0,344,0,285,0
Chase Edmonds,TB,RB,0,0,0,0.0,31,130,4.2,1,7,51,7.3,0,0,0,0,0
Gus Edwards,LAC,RB,0,0,0,0.0,158,687,4.3,6,12,89,7.4,0,0,0,0,0
Clyde Edwards-Helaire,FA,RB,0,0,0,0.0,44,185,4.2,1,5,38,7.6,0,0,0,0,0
Sam Ehlinger,IND,QB,76,1,0,6.3,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Austin Ekeler,WAS,RB,0,0,0,0.0,131,551,4.2,4,43,325,7.6,2,0,0,0,0
Jake Elliott,PHI,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Ezekiel Elliott,FA,RB,0,0,0,0.0,103,420,4.1,4,18,131,7.3,1,0,0,0,0
Evan Engram,JAX,TE,0,0,0,0.0,0,0,0.0,0,71,684,9.6,4,0,0,0,0
Alex Erickson,FA,WR,0,0,0,0.0,2,12,6.0,0,16,206,12.9,1,0,0,0,0
Zach Ertz,WAS,TE,0,0,0,0.0,0,0,0.0,0,13,125,9.6,1,0,0,0,0
Dee Eskridge,SEA,WR,0,0,0,0.0,1,6,6.0,0,4,56,14.0,0,114,0,18,0
Audric Estime,FA,RB,0,0,0,0.0,72,305,4.2,2,9,67,7.4,0,0,0,0,0
Travis Etienne,JAX,RB,0,0,0,0.0,242,1016,4.2,8,44,328,7.5,2,0,0,0,0
Chris Evans,CIN,RB,0,0,0,0.0,9,38,4.2,0,9,65,7.2,0,0,0,0,0
Zach Evans,LAR,RB,0,0,0,0.0,52,217,4.2,1,8,59,7.4,0,0,0,0,0
Mike Evans,TB,WR,0,0,0,0.0,1,5,5.0,0,73,1108,15.2,8,0,0,0,0
Gerald Everett,CHI,TE,0,0,0,0.0,0,0,0.0,0,29,299,10.3,2,0,0,0,0
Ka'imi Fairbairn,HOU,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Noah Fant,SEA,TE,0,0,0,0.0,0,0,0.0,0,29,303,10.4,2,0,0,0,0
Jake Ferguson,DAL,TE,0,0,0,0.0,0,0,0.0,0,65,677,10.4,5,0,0,0,0
Justin Fields,CHI,QB,2957,18,11,7.1,140,724,5.2,5,0,0,0.0,0,0,0,0,0
Joe Flacco,IND,QB,234,1,1,7.1,3,4,1.3,0,0,0,0.0,0,0,0,0,0
Zay Flowers,BAL,WR,0,0,0,0.0,8,51,6.4,0,81,932,11.5,6,0,0,0,0
Nick Folk,TEN,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jerome Ford,CLE,RB,0,0,0,0.0,88,370,4.2,3,26,192,7.4,1,0,0,0,0
D'Onta Foreman,FA,RB,0,0,0,0.0,70,292,4.2,3,10,71,7.1,0,0,0,0,0
Jody Fortson,FA,TE,0,0,0,0.0,0,0,0.0,0,9,95,10.6,1,0,0,0,0
Leonard Fournette,FA,RB,0,0,0,0.0,31,130,4.2,1,3,23,7.7,0,0,0,0,0
Zakhari Franklin,FA,WR,0,0,0,0.0,1,6,6.0,0,11,134,12.2,1,0,0,0,0
Troy Franklin,FA,WR,0,0,0,0.0,1,7,7.0,0,58,716,12.3,4,0,0,0,0
Pat Freiermuth,PIT,TE,0,0,0,0.0,0,0,0.0,0,56,583,10.4,4,0,0,0,0
Blaine Gabbert,FA,QB,219,1,1,7.1,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Russell Gage,FA,WR,0,0,0,0.0,1,4,4.0,0,14,175,12.5,1,0,0,0,0
Kenneth Gainwell,PHI,RB,0,0,0,0.0,64,267,4.2,2,17,122,7.2,1,0,0,0,0
Michael Gallup,DAL,WR,0,0,0,0.0,1,4,4.0,0,27,356,13.2,2,0,0,0,0
Graham Gano,NYG,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jimmy Garoppolo,FA,QB,217,2,1,7.0,3,7,2.3,0,0,0,0.0,0,0,0,0,0
Matt Gay,IND,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Mike Gesicki,CIN,TE,0,0,0,0.0,0,0,0.0,0,27,288,10.7,2,0,0,0,0
