"Player","Team","REC","YDS","TDS","FL","FPTS"
"Lawrence Cager","NYG","7.0","65.0","1.0","0.0","19.5"
"Julian Hill","MIA","5.4","134.9","0.2","0.6","19.1"
"Charlie Kolar","BAL","6.8","82.8","0.7","0.0","19.0"
"Marcedes Lewis","CHI","6.6","65.4","1.0","0.1","18.9"
"Mitchell Wilcox","CIN","8.3","82.2","0.3","0.0","18.5"
"James Mitchell","DET","7.0","84.1","0.5","0.0","18.4"
"Tre' McKitty","BUF","7.8","75.8","0.5","0.0","18.3"
"Armani Rogers","WAS","7.3","85.4","0.4","0.1","18.0"
"Jody Fortson","KC","6.1","105.0","0.4","0.6","17.9"
"Quintin Morris","BUF","5.7","80.5","0.7","0.4","17.1"
"Ross Dwelley","SF","5.0","85.0","0.6","0.0","17.0"
"Eric Tomlinson","IND","7.4","65.1","0.5","0.0","16.9"
"Chris Manhertz","NYG","6.8","74.5","0.4","0.0","16.8"
"Reggie Gilliam","BUF","7.0","56.5","0.5","0.0","15.7"
"Tyler Kroft","MIA","5.7","59.8","0.6","0.0","15.4"
"Giovanni Ricci","CLE","5.5","88.8","0.1","0.0","15.1"
"Jesper Horsted","LV","5.4","67.9","0.4","0.0","14.7"
"Brayden Willis","SF","5.1","55.9","0.5","0.0","13.8"
"Shane Zylstra","DET","3.9","77.6","0.3","0.1","13.5"
"Grant Calcaterra","PHI","3.8","81.6","0.2","0.1","13.0"
"John FitzPatrick","ATL","4.5","46.0","0.5","0.0","12.1"
"MyCole Pruitt","ATL","3.2","44.1","0.5","0.0","10.5"
"Tyler Davis","GB","4.1","41.1","0.4","0.0","10.5"
"Charlie Woerner","ATL","3.2","56.1","0.2","0.1","10.0"
"Matt Sokol","NE","3.7","38.4","0.3","0.0","9.0"
"Kenny Yeboah","NYJ","2.0","59.5","0.2","0.1","8.8"
"Feleipe Franks","ATL","3.1","28.9","0.2","0.0","7.3"
"Jake Tonges","SF","2.7","26.3","0.2","0.0","6.5"
"Nate Adkins","DEN","4.0","22.0","0.0","0.0","6.2"
"Jacob Harris","PHI","1.4","31.1","0.2","0.0","5.9"
"Zack Kuntz","NYJ","0.3","40.6","0.2","0.1","5.2"
"Kevin Rader","TEN","1.0","31.6","0.2","0.0","5.2"
"Parker Hesse","ATL","0.2","39.3","0.0","0.0","4.2"
"Blake Whiteheart","ARI","1.4","16.2","0.1","0.0","3.7"
"Nick Muse","MIN","1.0","22.0","0.0","0.0","3.2"
"Zach Gentry","LV","0.7","23.7","0.0","0.0","3.2"
"Devin Asiasi","TEN","0.2","18.8","0.2","0.0","3.0"
"Tyler Mabry","SEA","0.8","7.8","0.1","0.0","2.1"
"Dalton Keene","HOU","1.0","7.4","0.1","0.0","2.1"
"Tucker Fisk","ATL","1.0","9.0","0.0","0.0","1.9"
"Josh Pederson","JAC","0.6","6.5","0.1","0.0","1.8"
"Cole Fotheringham","LV","1.0","6.0","0.0","0.0","1.6"
"Anthony Firkser","DET","0.5","5.7","0.0","0.0","1.3"
"Nick Vannett","LAC","1.0","3.0","0.0","0.0","1.3"
"David Wells","TB","2.0","-10.0","0.0","0.0","1.0"
"Travis Vokolek","ARI","0.4","3.7","0.0","0.0","1.0"
"Noah Togiai","PHI","0.4","3.1","0.0","0.0","0.9"
"Princeton Fant","DAL","0.3","3.1","0.0","0.0","0.8"
"Hunter Kampmoyer","LAC","0.3","2.3","0.0","0.0","0.7"
"Matt Bushman","KC","0.2","2.9","0.0","0.0","0.7"
"Stephen Carlson","CHI","0.2","3.0","0.0","0.0","0.6"
"Brady Russell","SEA","0.2","2.1","0.0","0.0","0.5"
"Tyree Jackson","NYG","0.1","1.9","0.0","0.0","0.4"
"Tanner Conner","MIA","0.1","1.4","0.0","0.0","0.3"
"Sean McKeon","DAL","0.0","57.1","0.3","0.0","0.0"
""
""
