"Player","Team","23REC","23RecYDS","23RecTDS","23RushATT","23RushYDS","23RushTDS","FL","FPTS"
"Darius Slayton","NYG","40.6","617.4","2.9","0.5","0.0","0.0","0.5","118.5"
"Michael Wilson","ARI","41.6","588.0","2.7","2.2","13.9","0.1","0.4","117.4"
"Marvin Mims Jr.","DEN","40.7","589.3","3.0","1.0","10.6","0.0","1.1","116.6"
"Tank Dell","HOU","40.0","546.2","3.5","0.7","15.0","0.0","0.7","115.9"
"Wan'Dale Robinson","NYG","46.8","527.0","2.0","3.1","29.7","0.3","0.5","115.3"
"Josh Downs","IND","41.0","573.9","2.4","2.2","10.4","0.1","0.3","113.8"
"Jameson Williams","DET","35.2","554.4","3.2","1.2","17.4","0.2","0.4","112.4"
"Demario Douglas","NE","40.8","594.3","1.6","3.0","26.3","0.1","0.6","111.9"
"DeVante Parker","PHI","41.1","553.4","2.4","0.0","0.0","0.0","0.1","110.7"
"Robert Woods","HOU","45.9","495.5","2.0","4.3","22.5","0.2","0.5","109.8"
"Alec Pierce","IND","38.3","563.7","2.1","0.0","0.0","0.0","0.1","106.8"
"Kendrick Bourne","NE","40.2","460.9","2.8","6.4","28.3","0.2","0.8","105.6"
"Joshua Palmer","LAC","39.1","514.9","2.5","0.5","1.9","0.0","0.3","105.0"
"Josh Reynolds","DET","33.1","517.0","3.3","0.4","0.0","0.0","0.5","103.7"
"Van Jefferson","PIT","36.9","500.2","2.3","0.5","3.3","0.0","0.1","100.8"
"Donovan Peoples-Jones","DET","36.1","497.2","1.8","0.3","0.3","0.0","0.5","95.7"
"Trey Palmer","TB","35.2","452.2","2.2","0.6","8.2","0.0","0.5","93.9"
"Tutu Atwell","LAR","29.5","452.8","1.8","7.7","37.1","0.4","0.2","91.3"
"Noah Brown","HOU","29.2","512.0","1.7","0.3","0.7","0.0","0.4","90.0"
"Jalin Hyatt","NYG","31.5","472.5","1.8","1.7","8.4","0.0","0.4","89.7"
"Dontayvion Wicks","GB","29.5","452.0","2.1","1.9","8.1","0.1","0.5","87.2"
"Mecole Hardman Jr.","KC","31.7","372.8","1.9","7.5","41.7","0.7","0.9","87.0"
"Greg Dortch","ARI","35.5","366.0","1.6","6.3","36.7","0.1","0.5","84.8"
"Cedrick Wilson Jr.","NO","30.6","381.3","2.3","0.6","0.8","0.0","0.1","82.6"
"Khalil Shakir","BUF","24.4","442.9","1.7","1.8","10.9","0.1","0.3","80.1"
"Parris Campbell","NYG","34.4","338.0","1.6","2.9","23.7","0.0","0.2","79.9"
"Mack Hollins","BUF","31.8","381.9","1.5","0.3","2.5","0.0","0.2","79.0"
"Chase Claypool","MIA","28.7","348.7","2.1","4.4","23.3","0.1","0.4","78.2"
"Nick Westbrook-Ikhine","TEN","27.3","363.0","2.3","0.0","0.0","0.0","0.1","76.9"
"Terrace Marshall Jr.","CAR","27.1","361.2","1.2","0.0","0.0","0.0","0.1","70.3"
"Kalif Raymond","DET","23.1","337.9","0.9","3.0","30.9","0.1","0.3","65.4"
"Demarcus Robinson","LAR","21.4","318.5","2.1","0.0","5.8","0.0","0.6","65.4"
"Sterling Shepard","NYG","27.7","259.0","1.5","2.2","12.6","0.1","0.3","63.8"
"Jake Bobo","SEA","17.9","317.8","1.4","1.2","6.0","0.6","0.1","62.1"
"John Metchie III","HOU","26.1","287.4","1.0","0.6","3.9","0.0","0.1","61.1"
"Randall Cobb","NYJ","23.4","252.0","1.7","0.1","0.3","0.0","0.2","58.4"
"Justin Watson","KC","14.0","311.1","2.3","0.0","0.0","0.0","0.4","58.3"
"Ben Skowronek","LAR","25.9","238.3","1.1","0.3","5.4","0.2","0.1","58.1"
"Trenton Irwin","CIN","18.9","297.5","1.5","0.4","3.6","0.0","0.1","57.8"
"Cedric Tillman","CLE","18.6","322.8","1.0","1.5","9.1","0.1","0.2","57.7"
"Tyquan Thornton","NE","21.4","226.6","1.1","2.0","20.6","0.7","0.0","56.7"
"Deven Thompkins","TB","21.7","231.1","1.3","0.0","21.0","0.0","0.7","53.7"
"A.T. Perry","NO","9.7","303.8","2.1","0.9","3.3","0.0","0.1","53.1"
"Xavier Gipson","NYJ","21.0","229.0","0.0","0.0","68.0","1.0","2.0","52.7"
"Braxton Berrios","MIA","20.6","231.7","1.1","1.5","12.1","0.3","0.3","52.4"
"Nelson Agholor","BAL","14.7","259.6","2.0","0.4","1.1","0.0","0.3","52.1"
"Dyami Brown","WAS","15.7","242.5","1.8","2.1","11.1","0.0","0.0","51.9"
"Andrei Iosivas","CIN","15.0","226.5","2.2","0.9","2.8","0.0","0.1","50.6"
"Jauan Jennings","SF","19.4","251.0","1.0","0.0","0.0","0.0","0.1","50.5"
"Calvin Austin III","PIT","16.8","250.6","0.9","1.0","17.4","0.3","0.2","50.2"
"Richie James Jr.","KC","19.3","246.3","1.3","0.4","1.1","0.0","1.3","49.4"
"Isaiah McKenzie","NYG","22.3","191.1","0.9","6.2","29.4","0.2","0.8","49.0"
"Chris Moore","ARI","17.8","264.4","0.6","0.3","10.3","0.0","0.0","48.7"
"Laviska Shenault Jr.","CAR","16.9","171.8","0.5","15.3","79.6","0.5","0.2","48.0"
"Kyle Philips","TEN","16.0","280.9","0.5","1.6","6.5","0.1","0.5","46.9"
"Bo Melton","GB","16.0","218.0","1.0","0.0","21.0","0.0","0.0","45.9"
"Brandon Powell","MIN","15.0","200.3","1.4","9.7","38.1","0.0","0.8","45.6"
"Jalen Tolbert","DAL","14.2","249.8","1.1","1.1","5.1","0.1","0.5","45.3"
"Alex Erickson","LAC","16.0","232.0","1.0","0.0","0.0","0.0","0.0","45.2"
"Tre Tucker","LV","13.0","241.1","0.9","0.4","27.3","0.0","0.1","45.2"
"Jamal Agnew","JAC","17.7","173.6","1.0","5.3","26.9","0.1","0.5","43.9"
"Brandon Johnson","DEN","13.9","208.3","1.5","0.2","1.1","0.0","0.1","43.7"
"Olamide Zaccheaus","PHI","16.3","200.2","1.3","0.6","1.3","0.0","0.3","43.5"
"Parker Washington","JAC","13.3","232.4","1.2","0.6","2.5","0.0","0.4","43.4"
"Quez Watkins","PHI","17.6","193.1","0.9","0.2","0.2","0.0","0.2","42.3"
"Trent Sherfield","MIN","14.9","188.7","1.0","0.0","0.0","0.0","0.1","39.9"
"Julio Jones","PHI","11.0","178.4","1.7","0.6","2.0","0.0","0.0","39.2"
"Tyler Scott","CHI","17.0","205.6","0.0","1.6","25.6","0.1","0.6","39.2"
"Cade Johnson","SEA","14.6","168.0","1.1","0.0","1.7","0.0","0.0","38.0"
"Charlie Jones","CIN","14.6","183.4","0.8","0.8","5.5","0.0","0.5","37.6"
"Zach Pascal","ARI","16.3","168.9","0.7","0.1","0.5","0.0","0.1","37.1"
"Marquise Goodwin","CLE","12.0","172.3","1.1","1.5","11.4","0.0","0.0","36.8"
"Lil'Jordan Humphrey","DEN","13.0","144.1","1.6","0.0","0.0","0.0","0.0","36.7"
"Elijah Higgins","ARI","14.0","163.0","1.0","0.0","0.0","0.0","0.0","36.3"
"Kayshon Boutte","NE","11.6","210.0","0.5","1.2","5.0","0.0","0.1","35.8"
"Malik Heath","GB","12.5","176.7","0.6","0.4","1.6","0.0","0.1","33.9"
"Jalen Guyton","LAC","10.0","183.4","0.6","2.2","4.2","0.0","0.0","32.4"
"Jalen Virgil","DEN","11.7","151.6","0.9","0.0","0.0","0.0","0.0","32.3"
"KhaDarel Hodge","ATL","13.2","167.6","0.4","0.0","0.0","0.0","0.1","32.1"
"KaVontae Turpin","DAL","8.7","116.0","1.1","1.8","35.7","0.3","0.1","32.0"
"Jamison Crowder","WAS","15.7","133.2","0.5","0.1","0.5","0.0","0.6","31.1"
"Justyn Ross","KC","10.0","165.7","0.6","0.7","3.3","0.0","0.1","30.7"
"David Bell","CLE","9.5","146.0","1.0","0.0","0.0","0.0","0.0","29.8"
"Samori Toure","GB","13.5","145.9","0.5","0.2","0.7","0.0","0.6","29.8"
"Byron Pringle","WAS","13.0","140.0","0.3","2.5","9.7","0.1","0.6","29.0"
"Derius Davis","LAC","15.0","78.4","0.0","0.6","52.5","0.0","0.6","27.0"
"Tre Nixon","NE","8.6","126.9","0.8","0.0","6.3","0.0","0.0","26.7"
"River Cracraft","MIA","10.6","119.5","0.7","0.2","1.0","0.0","0.1","26.6"
"Ronnie Bell","SF","6.8","78.7","1.8","0.0","0.0","0.0","0.0","25.6"
"Xavier Hutchinson","HOU","8.0","142.9","0.0","1.3","28.7","0.1","0.1","25.3"
"Phillip Dorsett II","DEN","10.0","111.1","0.4","0.2","1.1","0.0","0.0","23.7"
"Rakim Jarrett","TB","10.5","109.6","0.3","0.3","1.0","0.0","0.1","23.4"
"Jakeem Grant Sr.","CLE","7.0","76.1","0.3","0.0","48.2","0.3","0.0","23.0"
"Scott Miller","ATL","8.4","100.5","0.7","0.2","1.8","0.0","0.0","22.8"
"Ray-Ray McCloud III","ATL","8.5","90.6","0.2","3.4","28.6","0.2","0.1","22.6"
"Lynn Bowden Jr.","NO","11.0","83.0","0.0","0.0","32.0","0.0","0.0","22.5"
"Jason Brownlee","NYJ","7.9","88.7","1.0","0.0","0.0","0.0","0.0","22.5"
"David Moore","TB","4.8","95.2","1.1","0.0","0.1","0.0","0.0","20.7"
"Robbie Chosen","MIA","4.0","118.3","0.6","0.3","1.1","0.0","0.1","19.1"
"Ihmir Smith-Marsette","CAR","7.0","76.0","0.2","0.1","18.9","0.3","0.0","19.0"
"Dee Eskridge","SEA","7.0","73.0","0.3","3.1","18.5","0.1","0.0","18.5"
"Erik Ezukanma","MIA","5.9","91.7","0.4","0.4","7.2","0.0","0.1","18.0"
"Ashton Dulin","IND","4.5","89.3","0.5","0.0","8.6","0.0","0.0","17.3"
"Jalen Reagor","NE","7.0","90.1","0.0","1.1","11.1","0.0","0.1","17.0"
"Devin Duvernay","JAC","5.2","66.6","0.3","3.4","23.4","0.2","0.0","16.7"
"Velus Jones Jr.","CHI","5.8","70.4","0.3","1.8","22.0","0.1","0.1","16.7"
"Jalen Nailor","MIN","4.8","101.8","0.2","0.2","1.0","0.0","0.1","16.4"
"Tim Jones","JAC","7.1","71.5","0.2","0.2","0.9","0.0","0.1","15.3"
"Keith Kirkwood","NO","4.5","81.1","0.4","0.2","0.8","0.0","0.1","15.2"
"DeAndre Carter","LV","5.0","84.8","0.2","0.6","7.2","0.0","0.2","14.8"
