"Rank","Player","REC","TGT","RecYDS","Y/R","LG","20+","TD","RushATT","RushYDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Harrison Bryant (LV)","13","20","81","6.2","23","1","3","5","8","0","1","17","37.9","2.2","0.3%"
"57","Pharaoh Brown (SEA)","13","15","208","16.0","58","8","1","0","0","0","1","17","37.8","2.2","0.0%"
"58","Elijah Higgins (ARI)","14","19","163","11.6","26","3","1","0","0","0","0","11","36.3","3.3","0.0%"
"59","Andrew Ogletree (IND)","9","21","147","16.3","33","5","2","0","0","0","0","12","35.7","3.0","0.1%"
"60","John Bates (WAS)","19","28","151","7.9","35","2","0","0","0","0","0","17","34.1","2.0","0.1%"
"61","Jimmy Graham (NO)","6","7","39","6.5","12","0","4","0","0","0","0","13","33.9","2.6","0.2%"
"62","Irv Smith Jr. (KC)","18","26","115","6.4","14","0","1","0","0","0","1","12","33.5","2.8","2.7%"
"63","Stone Smartt (LAC)","11","21","155","14.1","51","6","1","0","0","0","0","16","32.5","2.0","0.0%"
"64","Jeremy Ruckert (NYJ)","16","22","151","9.4","23","1","0","0","0","0","0","15","31.1","2.1","0.2%"
"65","Luke Farrell (JAC)","13","15","155","11.9","42","4","0","0","0","0","0","17","28.5","1.7","0.0%"
"66","Jordan Akins (CLE)","15","23","132","8.8","28","1","0","0","0","0","0","17","28.2","1.7","0.1%"
"67","Brock Wright (DET)","13","14","91","7.0","25","1","1","0","0","0","0","14","28.1","2.0","0.1%"
"68","Luke Schoonmaker (DAL)","8","15","65","8.1","18","0","2","0","0","0","0","17","26.5","1.6","0.3%"
"69","MyCole Pruitt (ATL)","9","12","110","12.2","22","2","1","0","0","0","0","17","26.0","1.5","0.0%"
"70","Davis Allen (LAR)","10","11","95","9.5","21","1","1","0","0","0","0","15","25.5","1.7","0.1%"
"71","Stephen Sullivan (CAR)","12","24","125","10.4","20","1","0","0","0","0","0","11","24.5","2.2","0.0%"
"72","Josh Whyle (TEN)","9","15","94","10.4","24","1","1","0","0","0","0","11","24.4","2.2","0.0%"
"73","Lucas Krull (DEN)","8","14","95","11.9","35","2","1","0","0","0","0","7","23.5","3.4","0.1%"
"74","Cole Turner (WAS)","11","15","120","10.9","29","2","0","0","0","0","0","12","23.0","1.9","0.0%"
"75","Robert Tonyan (CHI)","11","17","112","10.2","24","1","0","0","0","0","0","17","22.2","1.3","0.2%"
"76","Charlie Kolar (BAL)","7","9","87","12.4","19","0","1","0","0","0","0","14","21.7","1.6","0.1%"
"77","C.J. Uzomah (FA)","8","12","58","7.3","19","0","1","0","0","0","0","12","19.8","1.7","0.1%"
"78","Geoff Swaim (ARI)","10","11","94","9.4","26","1","0","0","0","0","0","14","19.4","1.4","0.0%"
"79","Mitchell Wilcox (CIN)","9","12","56","6.2","12","0","0","0","0","0","0","17","14.6","0.9","0.0%"
"80","Brenton Strange (JAC)","5","9","35","7.0","17","0","1","0","0","0","0","14","14.5","1.0","0.1%"
"81","Josiah Deguara (GB)","8","8","65","8.1","19","0","0","0","0","0","0","15","14.5","1.0","0.1%"
"82","Darnell Washington (PIT)","7","10","61","8.7","12","0","0","0","0","0","0","17","13.1","0.8","0.3%"
"83","Marcedes Lewis (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","17","12.9","0.8","0.0%"
"84","Brycen Hopkins (LAR)","5","7","78","15.6","29","2","0","0","0","0","0","15","12.8","0.9","0.0%"
"85","Ben Sims (GB)","4","6","21","5.3","12","0","1","0","0","0","0","16","12.1","0.8","0.0%"
"86","Blake Bell (KC)","5","9","26","5.2","8","0","1","0","0","0","1","17","11.6","0.7","0.1%"
"87","Payne Durham (TB)","5","7","58","11.6","25","1","0","0","0","0","0","13","10.8","0.8","0.0%"
"88","Ian Thomas (CAR)","5","9","56","11.2","28","1","0","0","0","0","0","12","10.6","0.9","0.0%"
"89","Quintin Morris (BUF)","2","3","26","13.0","15","0","1","0","0","0","0","15","10.6","0.7","0.0%"
"90","Jack Stoll (PHI)","5","8","38","7.6","14","0","0","0","0","0","0","17","8.8","0.5","0.2%"
"91","Julian Hill (MIA)","6","9","48","8.0","18","0","0","0","0","0","1","15","8.8","0.6","0.0%"
"92","Grant Calcaterra (PHI)","4","4","39","9.8","12","0","0","0","0","0","0","14","7.9","0.6","0.1%"
"93","Peyton Hendershot (DAL)","4","7","38","9.5","24","1","0","1","0","0","0","8","7.8","1.0","0.1%"
"94","Ko Kieft (TB)","1","5","2","2.0","2","0","1","0","0","0","0","16","7.2","0.5","0.0%"
"95","Nate Adkins (DEN)","4","5","22","5.5","11","0","0","0","0","0","0","10","6.2","0.6","0.0%"
"96","Charlie Woerner (ATL)","3","3","32","10.7","20","1","0","0","0","0","0","17","6.2","0.4","0.0%"
"97","Greg Dulcich (DEN)","3","4","25","8.3","13","0","0","0","0","0","0","2","5.5","2.8","5.8%"
"98","Teagan Quitoriano (HOU)","2","3","33","16.5","22","1","0","0","0","0","0","7","5.3","0.8","0.0%"
"99","James Mitchell (DET)","2","2","28","14.0","24","1","0","0","0","0","0","14","4.8","0.3","0.0%"
"100","Kenny Yeboah (NYJ)","2","4","28","14.0","20","1","0","0","0","0","0","5","4.8","1.0","0.0%"
"101","Eric Saubert (HOU)","3","3","12","4.0","5","0","0","0","0","0","0","8","4.2","0.5","0.0%"
"102","Chris Manhertz (FA)","2","4","16","8.0","10","0","0","0","0","0","0","16","3.6","0.2","0.0%"
"103","Nick Muse (MIN)","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"104","Trevon Wesco (TEN)","1","3","21","21.0","21","1","0","0","0","0","0","15","3.1","0.2","0.0%"
"105","John FitzPatrick (ATL)","1","1","12","12.0","12","0","0","0","0","0","0","7","2.2","0.3","0.0%"
"106","Ross Dwelley (SF)","1","2","12","12.0","12","0","0","0","0","0","0","12","2.2","0.2","0.0%"
"107","Tucker Fisk (ATL)","1","1","9","9.0","9","0","0","0","0","0","0","6","1.9","0.3","0.0%"
"108","Kevin Rader (TEN)","1","3","6","6.0","6","0","0","0","0","0","0","14","1.6","0.1","0.0%"
"109","Cole Fotheringham (LV)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"110","Jesper Horsted (LV)","1","1","4","4.0","4","0","0","0","0","0","0","5","1.4","0.3","0.0%"
"111","Nick Vannett (LAC)","1","1","3","3.0","3","0","0","0","0","0","0","8","1.3","0.2","0.0%"
"112","Giovanni Ricci (CLE)","1","1","2","2.0","2","0","0","0","0","0","0","6","1.2","0.2","0.0%"
"113","David Wells (TB)","2","2","-10","-5.0","1","0","0","0","0","0","0","5","1.0","0.2","0.0%"
"114","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"116","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"117","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"119","Albert Okwuegbunam (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"120","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Nick Bowers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Devin Asiasi (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"128","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","0.0","0.0","0.0%"
"130","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Sean McKeon (DAL)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"132","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Reggie Gilliam (BUF)","1","1","3","3.0","3","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"134","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Rodney Williams (PIT)","0","2","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"137","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"140","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Chris Pierce Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Leroy Watson IV (CLE)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"145","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"146","La'Michael Pettway (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"151","Griffin Hebert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"153","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"155","Johnny Lumpkin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"157","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Izaiah Gathings (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Gerrit Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"165","Tre' McKitty (BUF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"166","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"169","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"173","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"177","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Darrell Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"192","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"193","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"194","Jordan Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Troy Fumagalli (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Anthony Firkser (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"197","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"198","Tyler Kroft (MIA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.1%"
"199","Eric Tomlinson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"201","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"202","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"203","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
""
""
