"Rank","Player","REC","TGT","RecYDS","Y/R","LG","20+","RecTD","ATT","RushYDS","RushTD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","135","181","1,749","13.0","92","41","12","Rush14","113","2","2","17","403.2","23.7","100.0%"
"2","Tyreek Hill (MIA)","119","171","1,799","15.1","78","57","13","6","15","0","1","16","376.4","23.5","100.0%"
"3","Amon-Ra St. Brown (DET)","119","164","1,515","12.7","70","34","10","4","24","0","1","16","330.9","20.7","100.0%"
"4","Puka Nacua (LAR)","105","160","1,486","14.2","80","40","6","12","89","0","0","17","298.5","17.6","95.2%"
"5","A.J. Brown (PHI)","106","158","1,456","13.7","59","34","7","0","0","0","2","17","289.6","17.0","100.0%"
"6","DJ Moore (CHI)","96","136","1,364","14.2","58","41","8","4","21","1","1","17","286.5","16.9","97.5%"
"7","Mike Evans (TB)","79","136","1,255","15.9","75","39","13","0","0","0","0","17","282.5","16.6","97.5%"
"8","Keenan Allen (LAC)","108","150","1,243","11.5","42","24","7","2","6","0","1","13","278.9","21.5","92.9%"
"9","Stefon Diggs (BUF)","107","160","1,183","11.1","55","19","8","1","5","0","1","17","273.8","16.1","99.9%"
"10","Davante Adams (LV)","103","175","1,144","11.1","46","19","8","0","0","0","0","17","265.4","15.6","100.0%"
"11","Ja'Marr Chase (CIN)","100","145","1,216","12.2","76","28","7","3","-6","0","0","16","262.7","16.4","99.3%"
"12","Nico Collins (HOU)","80","109","1,297","16.2","75","41","8","1","7","0","0","15","260.4","17.4","93.4%"
"13","Michael Pittman Jr. (IND)","109","156","1,152","10.6","75","20","4","0","0","0","1","16","250.2","15.6","96.3%"
"14","Brandon Aiyuk (SF)","75","105","1,342","17.9","76","42","7","0","0","0","1","16","249.2","15.6","97.0%"
"15","Deebo Samuel (SF)","60","89","892","14.9","54","30","7","37","225","5","0","15","243.7","16.2","98.5%"
"16","Chris Olave (NO)","87","138","1,123","12.9","51","25","5","0","0","0","0","16","231.3","14.5","98.3%"
"17","Adam Thielen (CAR)","103","137","1,014","9.8","32","12","4","1","6","0","0","17","231.0","13.6","87.2%"
"18","Calvin Ridley (TEN)","76","136","1,016","13.4","59","25","8","9","23","0","0","17","229.9","13.5","95.9%"
"19","DeVonta Smith (PHI)","81","112","1,066","13.2","63","27","7","0","0","0","1","16","227.6","14.2","97.0%"
"20","Amari Cooper (CLE)","72","128","1,250","17.4","75","42","5","0","0","0","1","15","227.0","15.1","91.4%"
