"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"14","Kenneth Walker III","SEA","rb","10","17","220.4","25","0","0","0","0","0","0","241.7042","1027.5014","7.5338","42.1236","35.8774","241.5977","1.2021","0.8937","0.4468","0.0417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Josh Jacobs","GB","rb","10","17","217.7","24","0","0","0","0","0","0","227.502","927.4703","6.4499","51.6287","42.3146","335.9894","1.6273","2.2536","1.1268","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","CeeDee Lamb","DAL","wr","7","17","306.4","24","0","0","0","0","0","0","12.1549","64.4804","0.5823","152.6799","107.3112","1381.1057","8.3428","1.3531","0.6766","0.2824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","James Cook","BUF","rb","12","17","217.3","24","0","0","0","0","0","0","211.8657","931.5053","4.3805","58.4368","47.4513","407.7686","2.339","2.5667","1.2834","0.0512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Ja'Marr Chase","CIN","wr","12","17","305.5","24","0","0","0","0","0","0","2.9957","15.5399","0.1004","164.3872","112.8451","1358.8653","8.2993","1.5027","0.7514","0.0933","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Rachaad White","TB","rb","11","17","211.6","23","0","0","0","0","0","0","221.3417","850.5904","4.3899","60.3435","50.8933","374.9902","2.2581","1.4317","0.7158","0.0442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Aaron Jones","MIN","rb","6","17","211.3","23","0","0","0","0","0","0","208.2977","930.8188","5.7484","56.4048","46.0238","305.8902","1.9861","2.9428","1.4714","0.2658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Amon-Ra St. Brown","DET","wr","5","17","295.1","22","0","0","0","0","0","0","2.2496","12.2397","0.0825","152.5493","112.6733","1325.8351","7.7671","0.7934","0.3967","0.0891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Justin Jefferson","MIN","wr","6","17","289","21","0","0","0","0","0","0","0","0","0","155.5085","101.3683","1422.0552","7.2837","0.7756","0.3878","0.2101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Alvin Kamara","NO","rb","12","17","200","21","0","0","0","0","0","0","184.971","729.3885","4.9367","61.0722","50.2607","377.092","1.9579","1.695","0.8475","0.2959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","James Conner","ARZ","rb","11","17","199.2","21","0","0","0","0","0","0","235.4978","980.9729","7.4656","38.7259","32.8874","207.6238","0.9912","1.993","0.9965","0.0396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","A.J. Brown","PHI","wr","5","17","285.6","21","0","0","0","0","0","0","0","0","0","148.9434","96.1119","1401.8131","7.8173","1.2426","0.6213","0.0482","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Tony Pollard","TEN","rb","5","17","193.9","20","0","0","0","0","0","0","216.6808","919.9565","5.9487","38.4775","30.813","232.1273","1.2741","0.9902","0.4951","0.2242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","David Montgomery","DET","rb","5","17","193.4","20","0","0","0","0","0","0","206.5121","876.0066","7.0401","36.4548","30.355","248.6959","1.2647","1.7814","0.8907","0.2856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Rhamondre Stevenson","NE","rb","14","17","190.8","20","0","0","0","0","0","0","231.0823","997.4467","6.1084","36.4537","29.6279","201.487","0.8977","2.1303","1.0651","0.0577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Chase Brown","CIN","rb","12","17","189.1","19","0","0","0","0","0","0","160.6443","678.1908","3.9682","43.2906","35.9601","280.8202","1.4801","1.7223","0.8612","0.1201","249.9256","0.1102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Tyjae Spears","TEN","rb","5","17","188.6","19","0","0","0","0","0","0","160.249","690.8311","4.1078","42.861","35.0455","252.894","1.155","1.4074","0.7037","0.0777","281.9145","0.1353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","D'Andre Swift","CHI","rb","7","17","187.6","19","0","0","0","0","0","0","217.8336","941.4039","6.5651","36.0416","29.8719","197.7109","1.1279","1.8086","0.9043","0.2647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Jaylen Warren","PIT","rb","9","17","186","19","0","0","0","0","0","0","142.0474","668.2964","3.5613","65.8825","54.8847","368.0961","1.311","2.2828","1.1414","0.0847","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Sam LaPorta","DET","te","5","17","239.6","19","0","0","0","0","0","0","0","0","0","125.068","94.8203","973.586","7.7515","0.563","0.2815","0.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Puka Nacua","LA","wr","6","17","272.9","18","0","0","0","0","0","0","0","0","0","140.6582","94.6764","1326.8813","7.1009","0.9375","0.4687","0.1265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Najee Harris","PIT","rb","9","17","181.2","18","0","0","0","0","0","0","229.4954","907.4134","5.9936","36.6997","29.3599","225.0911","1.1887","2.3487","1.1744","0.0159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Garrett Wilson","NYJ","wr","12","17","267.4","17","0","0","0","0","0","0","5.3746","29.048","0.1874","161.5634","99.0272","1244.2057","6.3178","1.2635","0.6318","0.0722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Davante Adams","LV","wr","10","17","267","17","0","0","0","0","0","0","0","0","0","150.8459","94.1343","1215.4163","7.7046","0.6464","0.3232","0.0672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Devin Singletary","NYG","rb","11","17","175.3","17","0","0","0","0","0","0","207.5297","890.1825","4.6367","39.3286","32.2953","235.5297","1.0428","2.0449","1.0224","0.0314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Raheem Mostert","MIA","rb","6","17","174.2","17","0","0","0","0","0","0","149.3557","659.783","4.88","48.1044","39.7594","291.5309","2.0714","1.777","0.8885","0.0537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Javonte Williams","DEN","rb","14","17","174.2","17","0","0","0","0","0","0","186.8478","755.0281","4.0293","50.6583","42.0762","255.5943","1.3578","1.4752","0.7376","0.338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Jerome Ford","CLV","rb","10","17","173.4","16","0","0","0","0","0","0","176.5529","748.4782","4.2606","35.7784","28.5801","217.1942","1.5147","0.9271","0.4636","0.1222","112.156","0.0454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Marvin Harrison Jr.","ARZ","wr","11","17","261.7","16","0","0","0","0","0","0","0","0","0","152.2142","92.6225","1293.7287","6.3064","0.9777","0.4889","0.1512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Travis Kelce","KC","te","6","17","225.4","16","0","0","0","0","0","0","0","0","0","108.7649","85.1684","975.5957","7.2963","0.8717","0.4358","0.2285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Mike Evans","TB","wr","11","17","259.3","16","0","0","0","0","0","0","0","0","0","134.6554","80.9503","1245.3839","8.1948","0.3931","0.1965","0.0769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Zamir White","LV","rb","10","17","170.1","16","0","0","0","0","0","0","216.6493","893.324","5.1018","32.0289","26.2629","192.8718","0.9095","1.341","0.6705","0.1294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Chris Olave","NO","wr","12","17","258.1","16","0","0","0","0","0","0","0","0","0","143.0376","92.0002","1259.8824","6.4404","1.0934","0.5467","0.3308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Brian Robinson","WAS","rb","14","17","167.2","15","0","0","0","0","0","0","218.6672","886.7613","4.6706","32.3589","26.8956","200.5486","1.2827","2.873","1.4365","0.2357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Trey McBride","ARZ","te","11","17","220.8","15","0","0","0","0","0","0","0","0","0","129.0863","96.8809","952.245","5.0153","1.108","0.554","0.1877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Drake London","ATL","wr","12","17","255.2","15","0","0","0","0","0","0","0","0","0","142.7395","91.6139","1208.9612","7.1324","1.4222","0.7111","0.4061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Zack Moss","CIN","rb","12","17","165.9","15","0","0","0","0","0","0","161.0188","666.8983","3.9612","44.4606","36.6476","277.4878","1.7335","1.1418","0.5709","0.0724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Jaylen Waddle","MIA","wr","6","17","250.1","14","0","0","0","0","0","0","2.8256","14.2898","0.1197","125.4149","80.9578","1232.9228","6.6189","0.7523","0.3762","0.1235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Austin Ekeler","WAS","rb","14","17","158.1","14","0","0","0","0","0","0","108.0769","440.5855","3.17","63.674","53.22","354.7377","1.6526","2.6295","1.3148","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Ezekiel Elliott","DAL","rb","7","17","157.2","14","0","0","0","0","0","0","176.0207","668.8854","4.9052","39.4376","32.6789","224.5581","1.302","1.249","0.6245","0.0344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Jaleel McLaughlin","DEN","rb","14","17","153.6","13","0","0","0","0","0","0","98.8947","444.5946","2.4239","51.1649","43.3374","246.0799","1.3783","1.0071","0.5035","0.0618","187.8851","0.0854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Brandon Aiyuk","SF","wr","9","17","242","13","0","0","0","0","0","0","0","0","0","117.4454","76.6517","1189.7749","7.5794","0.8533","0.4267","0.1425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
