iter	MultiRMSE
229	26.84110223
230	26.83073052
231	26.81647635
232	26.79868833
233	26.78156594
234	26.7669624
235	26.74617917
236	26.7308075
237	26.71453936
238	26.70037207
239	26.68062727
240	26.66461901
241	26.65291974
242	26.63684452
243	26.61428203
244	26.59866018
245	26.57469592
246	26.56278025
247	26.54891585
248	26.53210482
249	26.51979183
250	26.50649962
251	26.49239507
252	26.48443783
253	26.46767084
254	26.44921815
255	26.43759512
256	26.41650465
257	26.39754963
258	26.38294894
259	26.3706901
260	26.35119199
261	26.33629799
262	26.3256769
263	26.3136118
264	26.30307485
265	26.28536848
266	26.27198785
267	26.25676928
268	26.24611597
269	26.23534363
270	26.21863348
271	26.20029931
272	26.18216587
273	26.16966777
274	26.15771903
275	26.13762039
276	26.1270795
277	26.11017056
278	26.09214189
279	26.07740646
280	26.06598906
281	26.05418098
282	26.04052936
283	26.03087051
284	26.02061822
285	26.00765344
286	25.99558007
287	25.98084075
288	25.96558014
289	25.95284432
290	25.93869889
291	25.92826819
292	25.91544154
293	25.90076165
294	25.88649019
295	25.87561156
296	25.86469157
297	25.85035487
298	25.84154218
299	25.83143227
300	25.8186293
301	25.80552897
302	25.79410764
303	25.78420305
304	25.77285092
305	25.76023248
306	25.74344748
307	25.73021703
308	25.71603498
309	25.70477366
310	25.69424924
311	25.68565525
312	25.67843153
313	25.66036176
314	25.64479625
315	25.63937855
316	25.62684026
317	25.61680228
318	25.60640427
319	25.59722697
320	25.58460625
321	25.57636133
322	25.56594554
323	25.5521161
324	25.54495796
325	25.52775472
326	25.5157431
327	25.50355005
328	25.48854666
329	25.47979337
330	25.46841556
331	25.46346055
332	25.45091872
333	25.44295078
334	25.42800457
335	25.41985294
336	25.4056572
337	25.39571361
338	25.38418142
339	25.37663413
340	25.36558597
341	25.35609686
342	25.34598935
343	25.32915379
344	25.32188825
345	25.31123638
346	25.30254036
347	25.29377136
348	25.28626197
349	25.27685548
350	25.26884769
351	25.26079438
352	25.25021704
353	25.23949948
354	25.22515737
355	25.21653491
356	25.20559655
357	25.19526966
358	25.18285897
359	25.17295673
360	25.16138691
361	25.1507279
362	25.13937897
363	25.12874474
364	25.11750483
365	25.10714945
366	25.09279105
367	25.08256861
368	25.06878657
369	25.05855971
370	25.05318865
371	25.03710847
372	25.0252373
373	25.01659326
374	25.00303703
375	24.99623173
376	24.98506878
377	24.9731734
378	24.96242172
379	24.95480374
380	24.94646497
381	24.93366112
382	24.92585342
383	24.91547894
384	24.90480205
385	24.8953258
386	24.88868
387	24.87456177
388	24.86423168
389	24.85269708
390	24.84335733
391	24.83151459
392	24.82211189
393	24.81381544
394	24.80285232
395	24.79710804
396	24.7866512
397	24.7718561
398	24.75704269
399	24.74812603
400	24.74519774
401	24.74010392
402	24.73192143
403	24.71791254
404	24.70939993
405	24.70050299
406	24.68997456
407	24.68096008
408	24.66663026
409	24.65756785
410	24.6507964
411	24.64709044
412	24.64013208
413	24.63066727
414	24.61715872
415	24.60892272
416	24.59931037
417	24.58666911
418	24.58145265
419	24.5736008
420	24.56647078
421	24.55867472
422	24.54960933
423	24.54532842
424	24.53762756
425	24.52392813
426	24.51420405
427	24.50008009
428	24.48949028
429	24.47846175
430	24.46455874
431	24.45223981
432	24.43855147
433	24.42577135
434	24.41803965
435	24.40752574
436	24.3976817
437	24.39036629
438	24.38598683
439	24.38056477
440	24.37576105
441	24.36272857
442	24.35701681
443	24.34732492
444	24.34122133
445	24.33296532
446	24.32271504
447	24.31221853
448	24.30385342
449	24.29413519
450	24.28448104
451	24.27887915
452	24.2718231
453	24.26225976
454	24.25612545
455	24.24841822
456	24.24399808
457	24.23909062
458	24.22671995
459	24.22067514
460	24.21144409
461	24.19150476
462	24.18390949
463	24.17612049
464	24.16690752
465	24.15675221
466	24.15097672
467	24.14264813
468	24.13583565
469	24.1226585
470	24.11111014
471	24.10332164
472	24.09643201
473	24.0867313
474	24.0797576
475	24.07169956
476	24.05822386
477	24.04840609
478	24.03906271
479	24.03021173
480	24.02418142
481	24.01682702
482	24.00866953
483	24.00062318
484	23.9957927
485	23.98855323
486	23.98036513
487	23.97287928
488	23.96499896
489	23.95913464
490	23.94806423
491	23.94162689
492	23.93032686
493	23.92338042
494	23.91747726
495	23.91124203
496	23.90531729
497	23.90078659
498	23.89049083
499	23.88416335
500	23.87186206
501	23.86582383
502	23.8596178
503	23.8541322
504	23.85186522
505	23.84684378
506	23.83635891
507	23.83270799
508	23.82341097
509	23.81756373
510	23.80877272
511	23.80202389
512	23.78689164
513	23.78177744
514	23.77691472
515	23.76758908
516	23.75988321
517	23.75045232
518	23.74625488
519	23.73890394
520	23.73392377
521	23.72646472
522	23.71439112
523	23.70693524
524	23.69833058
525	23.6939537
526	23.6883209
527	23.6795924
528	23.66305151
529	23.65429977
530	23.64791551
531	23.63782926
532	23.63181482
533	23.6257682
534	23.61635646
535	23.613252
536	23.60675052
537	23.59571047
538	23.58388425
539	23.577409
540	23.5753926
541	23.56622845
542	23.55710619
543	23.5515907
544	23.54235607
545	23.53549827
546	23.52672123
547	23.51870142
548	23.51515397
549	23.50731487
550	23.49993377
551	23.49321045
552	23.4823462
553	23.47824752
554	23.46962617
555	23.46241684
556	23.45612342
557	23.45111147
558	23.44435688
559	23.43445499
560	23.43035992
561	23.42551899
562	23.4230455
563	23.42003178
564	23.4116845
565	23.40069901
566	23.39104786
567	23.3828694
568	23.37622526
569	23.36887261
570	23.35984273
571	23.34672893
572	23.33808457
573	23.32965282
574	23.32245555
575	23.31804875
576	23.3093765
577	23.30290393
578	23.30064077
579	23.2915073
580	23.28626082
581	23.28263941
582	23.27695417
583	23.2682703
584	23.253686
585	23.24665081
586	23.24197939
587	23.23325391
588	23.22526725
589	23.22089031
590	23.21234593
591	23.20349404
592	23.19448874
593	23.19043418
594	23.18352908
595	23.17668328
596	23.16765896
597	23.16118695
598	23.1564221
599	23.15051664
600	23.14088015
601	23.12700342
602	23.11911586
603	23.11597592
604	23.10763566
605	23.09943828
606	23.09623475
607	23.08971925
608	23.08284509
609	23.07729396
610	23.06455309
611	23.062344
612	23.05543625
613	23.04947419
614	23.04126359
615	23.028969
616	23.02215095
617	23.01508124
618	23.00860713
619	23.00033372
620	22.99283091
621	22.98776292
622	22.98185399
623	22.97445746
624	22.96709035
625	22.95919014
626	22.9475036
627	22.94164236
628	22.93310277
629	22.92924417
630	22.92337052
631	22.92078688
632	22.91329759
633	22.9078118
634	22.90115507
635	22.8946605
636	22.89192462
637	22.8862133
638	22.88041629
639	22.87351019
640	22.86286347
641	22.85881752
642	22.85471501
643	22.84905932
644	22.84466045
645	22.8372295
646	22.83046929
647	22.8258887
648	22.81667584
649	22.81335971
650	22.80935234
651	22.80552118
652	22.80204689
653	22.79863679
654	22.79261956
655	22.78213874
656	22.7771026
657	22.76984884
658	22.76424868
659	22.76045736
660	22.75410994
661	22.74872793
662	22.74110146
663	22.73200037
664	22.72315505
665	22.71820522
666	22.71264124
667	22.70644253
668	22.70187773
669	22.69759759
670	22.6904246
671	22.68374064
672	22.67550299
673	22.66619303
674	22.65723205
675	22.65225571
676	22.64678284
677	22.64223844
678	22.63651481
679	22.63130389
680	22.62629255
681	22.61574482
682	22.60884291
683	22.60222545
684	22.59668639
685	22.59283155
686	22.58603624
687	22.58160782
688	22.57501018
689	22.56858017
690	22.56149312
691	22.55322738
692	22.54262252
693	22.53647597
694	22.53111141
695	22.52377846
696	22.516387
697	22.50823388
698	22.50112001
699	22.49581649
700	22.49066804
701	22.48498544
702	22.48020301
703	22.47523272
704	22.46774204
705	22.46119814
706	22.45625421
707	22.4452196
708	22.44234509
709	22.42947117
710	22.42244902
711	22.41741751
712	22.41083043
713	22.40692234
714	22.40406839
715	22.39550914
716	22.37848496
717	22.37334029
718	22.36946945
719	22.36302781
720	22.35796655
721	22.3532675
722	22.34695015
723	22.34053268
724	22.33381424
725	22.32260701
726	22.30543153
727	22.29777855
728	22.28793969
729	22.2838165
730	22.28015309
731	22.27441826
732	22.26591449
733	22.26092717
734	22.24804548
735	22.24283513
736	22.2376067
737	22.22855718
738	22.21800171
739	22.21140453
740	22.20230151
741	22.19568202
742	22.18861734
743	22.18321109
744	22.16934787
745	22.16126092
746	22.15381145
747	22.14224871
748	22.13748577
749	22.13240416
750	22.12963954
751	22.1236009
752	22.10939741
753	22.10448227
754	22.09742939
755	22.09297817
756	22.08728895
757	22.08221368
758	22.07608354
759	22.06670954
760	22.0560553
761	22.0467369
762	22.03921006
763	22.03482839
764	22.02711323
765	22.01942824
766	22.01479791
767	22.0064
768	21.99875465
769	21.9929889
770	21.98360252
771	21.98015252
772	21.96680583
773	21.9596321
774	21.95085082
775	21.94352662
776	21.93544918
777	21.92862361
778	21.92393056
779	21.91319909
780	21.90846031
781	21.89554585
782	21.88964213
783	21.8860389
784	21.877436
785	21.87022802
786	21.86726126
787	21.85987579
788	21.85216147
789	21.83965462
790	21.8326562
791	21.82521041
792	21.81739792
793	21.81006497
794	21.800622
795	21.79171548
796	21.7831494
797	21.77605569
798	21.77178785
799	21.76743444
800	21.75863261
801	21.75169335
802	21.74424401
803	21.73979033
804	21.73196734
805	21.72696229
806	21.72535475
807	21.71936772
808	21.70842998
809	21.70302938
810	21.69505811
811	21.68784636
812	21.68193013
813	21.67287396
814	21.66479057
815	21.65165709
816	21.64492555
817	21.63983895
818	21.63111543
819	21.62904138
820	21.62534911
821	21.62206649
822	21.61748941
823	21.61022576
824	21.60520595
825	21.60065677
826	21.59383452
827	21.58703744
828	21.57097201
829	21.56635986
830	21.56013661
831	21.55658225
832	21.55243414
833	21.54510143
834	21.5339286
835	21.52153765
836	21.51521178
837	21.51244077
838	21.5019659
839	21.49252332
840	21.48655645
841	21.47830069
842	21.47232417
843	21.4646165
844	21.45940717
845	21.4555035
846	21.44752258
847	21.43231732
848	21.42595825
849	21.41711423
850	21.41336172
851	21.40536865
852	21.39238201
853	21.38436454
854	21.37708889
855	21.37034327
856	21.36735662
857	21.35633643
858	21.34630759
859	21.33930046
860	21.33561832
861	21.32815433
862	21.32039084
863	21.31730245
864	21.30898773
865	21.30238958
866	21.29559631
867	21.29120413
868	21.28295009
869	21.27785418
870	21.27107008
871	21.26712775
872	21.2610242
873	21.24736666
874	21.24046541
875	21.23704252
876	21.23056616
877	21.2256945
878	21.21814118
879	21.20892569
880	21.20494209
881	21.2005537
882	21.19737907
883	21.19344509
884	21.18807393
885	21.17647554
886	21.1671279
887	21.16256338
888	21.15362477
889	21.14462228
890	21.14028867
891	21.12741909
892	21.1205948
893	21.11531132
894	21.10999413
895	21.10599527
896	21.10020146
897	21.09268751
898	21.08906575
899	21.08395459
900	21.07743354
901	21.07294334
902	21.06641437
903	21.06218126
904	21.05397823
905	21.04692295
906	21.04115514
907	21.03630811
908	21.02652368
909	21.01984768
910	21.01019475
911	21.00374312
912	20.99985718
913	20.99367422
914	20.98918963
915	20.98288509
916	20.97701779
917	20.97139627
918	20.96385432
919	20.95806583
920	20.9511235
921	20.94452095
922	20.93739827
923	20.93041878
924	20.92305631
925	20.91891557
926	20.9139797
927	20.90756351
928	20.89914181
929	20.89557868
930	20.88782145
931	20.88194105
932	20.87666722
933	20.87153635
934	20.86249227
935	20.85550498
936	20.85176474
937	20.84661333
938	20.83715186
939	20.82890785
940	20.81968884
941	20.8151707
942	20.8094407
943	20.80357816
944	20.79666761
945	20.79195419
946	20.78271785
947	20.77981962
948	20.77083401
949	20.7637744
950	20.75650935
951	20.74756949
952	20.73944799
953	20.7367078
954	20.72606523
955	20.71593562
956	20.71108018
957	20.70638239
958	20.69869908
959	20.69430472
960	20.68768532
961	20.67722834
962	20.67218638
963	20.66495017
964	20.66278585
965	20.65702028
966	20.64990569
967	20.6426626
968	20.63781813
969	20.6336725
970	20.628598
971	20.62157031
972	20.61724489
973	20.61175889
974	20.60759871
975	20.60179879
976	20.59699768
977	20.59459595
978	20.58894371
979	20.58391999
980	20.57975643
981	20.57328137
982	20.56421824
983	20.55484782
984	20.54846169
985	20.54265395
986	20.5343223
987	20.53064741
988	20.5242566
989	20.51853135
990	20.51073532
991	20.5031591
992	20.49214233
993	20.48476949
994	20.48018324
995	20.4736581
996	20.46713384
997	20.45786648
998	20.45250157
999	20.44386869
