season,week,game_id,team,blocked_kicks,defense_special_teams_fumbles_forced,defense_special_teams_fumbles_recovered
2024,1,2024_01_CAR_NO,CAR,0.0,0.0,1.0
2024,1,2024_01_DEN_SEA,DEN,0.0,0.0,1.0
2024,1,2024_01_HOU_IND,IND,1.0,0.0,0.0
2024,1,2024_01_JAX_MIA,MIA,0.0,1.0,0.0
2024,1,2024_01_NE_CIN,NE,0.0,1.0,1.0
2024,1,2024_01_TEN_CHI,CHI,1.0,0.0,0.0
2024,1,2024_01_TEN_CHI,TEN,0.0,0.0,1.0
2024,2,2024_02_NO_DAL,DAL,1.0,0.0,0.0
2024,2,2024_02_NYJ_TEN,NYJ,1.0,0.0,0.0
2024,2,2024_02_SEA_NE,SEA,1.0,0.0,0.0
2024,2,2024_02_SF_MIN,MIN,1.0,0.0,0.0
2024,3,2024_03_JAX_BUF,JAX,1.0,0.0,0.0
2024,3,2024_03_NYG_CLE,CLE,0.0,1.0,1.0
2024,3,2024_03_PHI_NO,NO,1.0,0.0,0.0
2024,4,2024_04_DAL_NYG,DAL,0.0,1.0,0.0
2024,4,2024_04_JAX_HOU,JAX,0.0,0.0,1.0
2024,4,2024_04_MIN_GB,GB,0.0,0.0,1.0
2024,4,2024_04_NE_SF,NE,0.0,1.0,1.0
2024,4,2024_04_NO_ATL,ATL,0.0,0.0,1.0
2024,4,2024_04_PHI_TB,PHI,1.0,0.0,0.0
2024,4,2024_04_PHI_TB,TB,0.0,0.0,1.0
2024,4,2024_04_WAS_ARI,WAS,0.0,1.0,0.0
2024,5,2024_05_ARI_SF,SF,1.0,0.0,0.0
2024,5,2024_05_DAL_PIT,PIT,1.0,0.0,0.0
2024,5,2024_05_GB_LA,GB,1.0,0.0,0.0
2024,5,2024_05_MIA_NE,NE,1.0,1.0,1.0
2024,5,2024_05_NYG_SEA,NYG,1.0,0.0,0.0
2024,5,2024_05_TB_ATL,TB,1.0,0.0,0.0
2024,6,2024_06_CLE_PHI,CLE,1.0,0.0,0.0
2024,6,2024_06_HOU_NE,HOU,0.0,1.0,0.0
2024,6,2024_06_JAX_CHI,CHI,0.0,1.0,0.0
2024,6,2024_06_JAX_CHI,JAX,1.0,0.0,0.0
2024,6,2024_06_PIT_LV,PIT,1.0,0.0,0.0
2024,6,2024_06_SF_SEA,SF,0.0,1.0,1.0
2024,6,2024_06_WAS_BAL,BAL,1.0,0.0,0.0
2024,7,2024_07_CAR_WAS,WAS,0.0,1.0,0.0
2024,7,2024_07_HOU_GB,HOU,0.0,0.0,1.0
2024,7,2024_07_NYJ_PIT,PIT,1.0,1.0,0.0
2024,8,2024_08_BUF_SEA,BUF,0.0,0.0,1.0
2024,8,2024_08_CHI_WAS,CHI,0.0,1.0,0.0
2024,8,2024_08_PHI_CIN,PHI,0.0,1.0,0.0
2024,8,2024_08_TEN_DET,DET,0.0,1.0,0.0
2024,9,2024_09_JAX_PHI,PHI,0.0,1.0,1.0
