season,week,game_id,player_id,receiving_tds_40_plus,receiving_tds_50_plus,rushing_tds_40_plus,rushing_tds_50_plus,pick_sixes_thrown,fumble_recovery_tds,special_teams_fumbles_forced,special_teams_fumbles_recovered
2025,5,2025_05_NE_BUF,00-0035357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,5,2025_05_NYG_NO,00-0037545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,5,2025_05_TEN_ARI,00-0040676,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,6,2025_06_BUF_ATL,00-0038542,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,6,2025_06_CHI_WAS,00-0036275,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025_06_LAC_MIA,00-0039040,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025_06_NE_NO,00-0038621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025_06_SEA_JAX,00-0038543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025_06_SF_TB,00-0040237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_MIA_CLE,00-0033941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,7,2025_07_MIA_CLE,00-0036212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,7,2025_07_MIA_CLE,00-0036282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,7,2025_07_MIA_CLE,00-0040784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_NYG_DEN,00-0038115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_NYG_DEN,00-0039847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_PHI_MIN,00-0032950,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,7,2025_07_PHI_MIN,00-0036912,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_PIT_CIN,00-0036894,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025_07_TB_DET,00-0039139,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,7,2025_07_WAS_DAL,00-0032268,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,7,2025_07_WAS_DAL,00-0036358,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_BUF_CAR,00-0037248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,8,2025_08_BUF_CAR,00-0037261,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_CHI_BAL,00-0040100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,8,2025_08_DAL_DEN,00-0040730,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_MIA_ATL,00-0036613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_NYG_PHI,00-0034844,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,8,2025_08_NYG_PHI,00-0037741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_NYJ_CIN,00-0036410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025_08_TB_NO,00-0039376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,8,2025_08_TEN_IND,00-0036223,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,9,2025_09_CHI_CIN,00-0036410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,9,2025_09_CHI_CIN,00-0040126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,9,2025_09_DEN_HOU,00-0040149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,9,2025_09_IND_PIT,00-0036504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,9,2025_09_LAC_TEN,00-0036355,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,9,2025_09_MIN_DET,00-0039065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,9,2025_09_SEA_WAS,00-0035891,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
