season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2023,REG,0,Rhamondre Stevenson,RB,NE,3.4691599353796443,16.666666666666664,2.5158750000000007,156,619,623.3386216128112,-18.338621612811153,3.967948717948718,-0.11986027197915786,0.37254901960784315,4,00-0036875,Rhamondre,Stevenson,38,R.Stevenson
2023,REG,0,Brian Robinson,RB,WAS,3.689972714870396,14.04494382022472,2.7781785714285734,178,733,690.980581916826,38.019418083173946,4.117977528089888,0.2160194209271247,0.4090909090909091,5,00-0037746,Brian,Robinson,8,B.Robinson
2023,REG,0,Ty Chandler,RB,MIN,3.7387228915662676,17,2.906308510638297,100,415,427.5766522801132,-13.576652280113194,4.15,-0.1371379018193252,0.41414141414141414,3,00-0037276,Ty,Chandler,32,T.Chandler
2023,REG,0,James Cook,RB,BUF,3.471907308377897,10.126582278481013,2.6385209302325583,237,1122,1006.9006753583078,105.09932464169219,4.734177215189874,0.44914241299868457,0.42735042735042733,2,00-0037248,James,Cook,4,J.Cook
2023,REG,0,James Conner,RB,ARI,3.7460384615384625,25,2.958704301075267,208,1040,821.9856397648645,211.01436023513554,5,1.0193930446141815,0.42995169082125606,7,00-0033553,James,Conner,6,J.Conner
2023,REG,0,Isiah Pacheco,RB,KC,3.573647058823528,12.195121951219512,2.7623697916666656,205,935,828.4860760709013,90.51392392909872,4.560975609756097,0.45256961964549364,0.4,7,00-0037197,Isiah,Pacheco,10,I.Pacheco
2023,REG,0,Derrick Henry,RB,TEN,3.9126306769494423,35.35714285714286,2.801296442687747,280,1167,1067.3732266281293,83.62677337187074,4.167857142857143,0.3052072020871195,0.40145985401459855,12,00-0032764,Derrick,Henry,22,D.Henry
2023,REG,0,Jaylen Warren,RB,PIT,3.628954081632653,12.080536912751679,2.8620751879699244,149,784,596.272401619389,161.72759838061097,5.261744966442953,1.1077232765795273,0.3972602739726027,4,00-0037228,Jaylen,Warren,30,J.Warren
2023,REG,0,D'Onta Foreman,RB,CHI,3.8280470588235302,20.18348623853211,2.6336938775510204,109,425,418.7786270710135,8.221372928986511,3.8990825688073394,0.07683526101856553,0.42990654205607476,4,00-0033925,D'Onta,Foreman,21,D.Foreman
2023,REG,0,David Montgomery,RB,DET,3.455369458128079,21.00456621004566,2.5513284313725495,219,1015,911.0802912037501,61.91970879624989,4.634703196347032,0.287998645563953,0.4418604651162791,13,00-0035685,David,Montgomery,5,D.Montgomery
2023,REG,0,Kyren Williams,RB,LAR,3.2243444055944055,4.824561403508771,2.6345117370892033,228,1144,972.3328873979139,145.66711260208615,5.017543859649122,0.6502996098307418,0.42410714285714285,12,00-0037840,Kyren,Williams,23,K.Williams
2023,REG,0,Jonathan Taylor,RB,IND,3.4509716599190297,14.201183431952662,2.743,169,741,676.85645133932735,54.14354866067265,4.384615384615385,0.32421286623157275,0.33532934131736525,7,00-0036223,Jonathan,Taylor,28,J.Taylor
2023,REG,0,A.J. Dillon,RB,GB,4.137830342577488,25.280898876404496,2.5971656441717808,178,613,669.7273457675096,-63.72734576750963,3.443820224719101,-0.3620871918608502,0.3693181818181818,2,00-0036265,Algiers,Dillon,28,A.Dillon
2023,REG,0,Joe Mixon,RB,CIN,3.7781721470019325,15.17509727626459,2.5991063829787233,257,1034,1025.1023690598759,5.897630940124145,4.0233463035019454,0.023037620859859942,0.41015625,9,00-0033897,Joe,Mixon,28,J.Mixon
2023,REG,0,D'Andre Swift,RB,PHI,3.58252621544328,17.903930131004365,2.7691225490196083,229,1049,1094.6422726011426,-64.64227260114262,4.580786026200873,-0.28729898933841164,0.3688888888888889,5,00-0036275,D'Andre,Swift,0,D.Swift
2023,REG,0,Jahmyr Gibbs,RB,DET,3.7489312169312154,15.934065934065933,2.891957575757576,182,945,868.0531405561819,71.94685944381808,5.1923076923076925,0.3974964610155695,0.3370165745856354,10,00-0039139,Jahmyr,Gibbs,26,J.Gibbs
2023,REG,0,Ezekiel Elliott,RB,NE,3.9096884735202497,17.934782608695652,2.709119760479043,184,642,700.5630598138596,-70.56305981385958,3.489130434782609,-0.38770911985637135,0.4175824175824176,3,00-0033045,Ezekiel,Elliott,15,E.Elliott
2023,REG,0,Raheem Mostert,RB,MIA,4.2526185770751,14.354066985645932,2.934705882352941,209,1012,876.1228659482746,125.87713405172542,4.842105263157895,0.6140348002523192,0.3853658536585366,18,00-0031687,Dominique,Mostert,31,R.Mostert
2023,REG,0,Austin Ekeler,RB,LAC,4.149633757961785,15.083798882681565,2.634852760736196,179,628,648.7168412148269,-47.7168412148269,3.5083798882681565,-0.26958667353009547,0.3502824858757062,5,00-0033699,Austin,Ekeler,30,A.Ekeler
2023,REG,0,Zack Moss,RB,IND,3.3064357682619647,14.754098360655737,2.6698165680473362,183,794,662.51500288051,129.48499711949,4.33879781420765,0.7114560281290659,0.4175824175824176,5,00-0036251,Zaccheus,Moss,21,Z.Moss
2023,REG,0,Zamir White,RB,LV,3.7037250554323737,15.384615384615385,2.854360824742267,104,451,414.48380052379565,33.51619947620435,4.336538461538462,0.3253999949146053,0.46601941747572817,1,00-0038040,Zamir,White,35,Z.White
