Player,PassTD,INT,SACKS,RecTD,RUSH_ATT,RushTD,RUSH_RECEIVE_TD,TD.1,LG,20+,FL,FPTS,FPTS/G,ROST,AIR/A,PKT TIME,SK,KNCK,HRRY,BLITZ,POOR,RZ ATT,RTG,CMP,PassATT,PCT,PassYDS,Y/A,Y/ATT,YBCON,YBCON/ATT,YACON/ATT,TK LOSS,TK LOSS YDS,LNG TD,YACON.1,RushATT,RushYDS,YBC,YBC/R,AIR/R,YAC,YAC/R,YACON/R,% TM,CATCHABLE,RecYDS,Y/R,AIR,DROP,YACON,BRKTKL,LNG,RZ TGT,REC,TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank,G,Pos,Team,week1Targets,week2Targets,week3Targts,week4Targets,week5Targets,week6Targets,week7Targets,week8Targets,week9Targets,week10Targets,week11Targets,week12Targets,week13Targets,week14Targets,week15Targets,week16Targets,week17Targets,week18Targets,TTL,AVG
De'Von Achane,,,,,,,8.0,3.0,76.0,21.0,1.0,190.7,17.3,94.1%,,,,,,,,,,,,,,7.8,7.8,486.0,4.7,3.0,10.0,-27.0,76.0,83.0,103.0,800,,,,,,,,,197.0,7.3,,,314.0,13.0,76.0,6.0,27.0,37.0,22.0,8.0,5.0,5.0,3.0,24.0,11.0,RB,MIA,-,1,4,5,1,-,-,-,-,bye,1,-,4,9,3,3,5,1,37.0,3.4
DeAndre Carter,,,,0.0,3,0.0,,,16.0,0.0,0.0,9.7,0.6,0.1%,,,,,,,,,,,,,,,,,,,,,,,,18.0,-11,-2.8,1.0,50.0,12.5,0.5,1.3%,5.0,39,9.8,4,1.0,2.0,0.0,16.0,1.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,176.0,17.0,WR,LV,1,1,1,0,1,1,0,0,1,0,0,0,bye,0,0,0,0,1,7.0,0.4
DeAndre Hopkins,,,,7.0,2,0.0,,,61.0,27.0,0.0,223.6,13.2,94.8%,,,,,,,,,,,,,,,,,,,,,,,,9.0,834,11.1,25.7,223.0,3.0,0.8,28.7%,80.0,"1,057",14.1,"1,928",4.0,61.0,4.0,61.0,17.0,75.0,137.0,41.0,15.0,7.0,4.0,1.0,22.0,17.0,WR,TEN,13,5,7,6,11,5,bye,6,11,9,5,5,12,12,9,4,7,10,137.0,8.1
DeVante Parker,,,,0.0,0,0.0,,,30.0,7.0,0.0,72.4,5.6,3.2%,,,,,,,,,,,,,,,,,,,,,,,,0.0,268,8.1,19.4,126.0,3.8,0.8,10.2%,36.0,394,11.9,640,3.0,28.0,2.0,30.0,0.0,33.0,55.0,18.0,6.0,1.0,0.0,0.0,87.0,13.0,WR,NE,-,8,3,4,4,3,1,2,-,-,bye,5,9,-,5,5,2,4,55.0,4.2
DeVonta Smith,,,,7.0,0,0.0,,,63.0,27.0,1.0,227.6,14.2,97.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,772,9.5,16.7,294.0,3.6,0.7,21.3%,87.0,"1,066",13.2,"1,350",5.0,55.0,4.0,63.0,6.0,81.0,112.0,43.0,14.0,8.0,3.0,2.0,19.0,16.0,WR,PHI,10,5,5,9,5,11,5,7,3,bye,8,8,11,10,5,5,5,-,112.0,7.0
DeWayne McBride,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,165.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Dee Eskridge,,,,0.0,2,0.0,,,0.0,0.0,0.0,0.5,0.1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,0,0.0,,,,,,,0.0,1.0,,,,,,204.0,4.0,WR,SEA,-,-,-,-,bye,-,-,0,0,-,1,0,-,-,-,-,-,-,1.0,0.3
DeeJay Dallas,,,,,,,0.0,0.0,8.0,0.0,2.0,8.2,0.5,0.8%,,,,,,,,,,,,,,3.6,3.6,29.0,2.9,0.7,2.0,-2.0,0.0,7.0,10.0,36,,,,,,,,,26.0,4.3,,,7.0,1.0,8.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,116.0,17.0,RB,SEA,1,0,1,1,bye,1,1,0,0,0,1,1,2,0,0,0,0,0,9.0,0.5
Deebo Samuel,,,,7.0,37,5.0,,,54.0,30.0,0.0,243.7,16.2,98.5%,,,,,,,,,,,,,,,,,,,,,,,,225.0,365,6.1,9.8,527.0,8.8,2.9,18.9%,63.0,892,14.9,588,2.0,173.0,12.0,54.0,17.0,60.0,89.0,32.0,15.0,8.0,6.0,1.0,15.0,15.0,WR,SF,7,9,12,0,3,1,-,-,bye,4,4,9,4,9,7,12,6,2,89.0,5.9
Demarcus Robinson,,,,4.0,1,0.0,,,37.0,10.0,1.0,87.4,6.7,20.2%,,,,,,,,,,,,,,,,,,,,,,,,23.0,282,10.8,18.4,89.0,3.4,0.7,7.0%,26.0,371,14.3,478,0.0,18.0,0.0,37.0,9.0,26.0,39.0,15.0,7.0,3.0,0.0,0.0,79.0,13.0,WR,LAR,0,0,0,0,-,-,-,-,1,bye,2,2,5,10,3,6,10,0,39.0,3.0
Demario Ballard,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,319.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,,,,0.0,8,0.0,,,42.0,11.0,1.0,107.2,7.7,26.9%,,,,,,,,,,,,,,,,,,,,,,,,41.0,225,4.6,13.2,336.0,6.9,0.9,14.6%,50.0,561,11.4,648,1.0,46.0,1.0,42.0,4.0,49.0,79.0,26.0,6.0,3.0,2.0,0.0,64.0,14.0,WR,NE,7,2,3,3,2,-,6,7,7,9,bye,9,-,-,5,8,5,6,79.0,5.6
Demetric Felton Jr.,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,156.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Deneric Prince,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,172.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Dennis Houston,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,267.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Denzel Mims,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,218.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Deon Jackson,,,,,,,0.0,0.0,7.0,0.0,2.0,4.0,2.0,1.2%,,,,,,,,,,,,,,1.1,1.1,4.0,0.3,0.9,2.0,-5.0,0.0,5.0,14.0,16,,,,,,,,,14.0,2.8,,,12.0,0.0,7.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,126.0,2.0,RB,NYG,6,-,-,-,-,-,-,-,0,-,-,-,bye,-,-,-,-,-,6.0,3.0
Deonte Harty,,,,1.0,4,0.0,,,43.0,4.0,1.0,40.0,2.5,0.3%,,,,,,,,,,,,,,,,,,,,,,,,0.0,71,4.7,15.1,79.0,5.3,1.3,3.9%,16.0,150,10.0,227,1.0,19.0,0.0,43.0,2.0,15.0,21.0,5.0,2.0,1.0,1.0,0.0,122.0,16.0,WR,BUF,4,3,3,2,2,1,1,0,1,1,1,-,bye,1,0,0,0,1,21.0,1.3
Derek Carr,25.0,8.0,31.0,,,0.0,,,,,3.0,249.1,14.7,37.8%,4.5,2.3,31.0,35.0,24.0,172.0,80.0,68.0,100.0,375.0,548.0,68.4,"3,878",7.1,,,,,,,,,32.0,40.0,,,,,,,,,,,"2,446",20.0,,,,,,,140.0,47.0,20.0,10.0,4.0,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,
Derek Fine,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,183.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Derek Parish,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,169.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Derek Wright,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,263.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Derius Davis,,,,0.0,14,0.0,,,18.0,0.0,1.0,35.7,2.1,0.2%,,,,,,,,,,,,,,,,,,,,,,,,101.0,-49,-3.3,-2.5,115.0,7.7,0.5,2.8%,15.0,66,4.4,-38,0.0,8.0,0.0,18.0,1.0,15.0,17.0,3.0,0.0,0.0,0.0,0.0,131.0,17.0,WR,LAC,1,0,1,2,bye,0,2,2,1,2,1,1,0,0,2,1,0,1,17.0,1.0
Derrick Gore,,,,,,,0.0,0.0,23.0,1.0,0.0,2.6,0.5,0.0%,,,,,,,,,,,,,,8.7,8.7,22.0,7.3,1.3,0.0,0.0,0.0,0.0,3.0,26,,,,,,,,,0.0,0.0,,,4.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,133.0,5.0,RB,WAS,-,-,-,0,0,-,-,-,-,-,0,-,-,bye,-,0,-,0,0.0,0.0
Derrick Henry,,,,,,,12.0,0.0,69.0,11.0,0.0,246.7,14.5,99.0%,,,,,,,,,,,,,,4.2,4.2,597.0,2.1,2.0,27.0,-62.0,29.0,46.0,280.0,"1,167",,,,,,,,,214.0,7.6,,,570.0,23.0,69.0,2.0,28.0,36.0,23.0,5.0,2.0,2.0,2.0,8.0,17.0,RB,TEN,3,4,0,1,3,2,bye,4,4,1,2,2,2,2,4,1,1,0,36.0,2.1
Deshaun Watson,7.0,4.0,17.0,,,1.0,,,,,2.0,90.9,15.2,24.3%,4.0,2.5,17.0,18.0,13.0,59.0,34.0,16.0,74.0,105.0,171.0,61.4,"1,115",6.5,,,,,,,,,26.0,142.0,,,,,,,,,,,679,12.0,,,,,,,45.0,12.0,4.0,3.0,1.0,35.0,6.0,,,,,,,,,,,,,,,,,,,,,,
Desmond Ridder,12.0,12.0,31.0,,,5.0,,,,,7.0,189.1,12.6,4.9%,4.6,2.3,31.0,28.0,26.0,90.0,55.0,47.0,82.0,249.0,388.0,64.2,"2,836",7.3,,,,,,,,,53.0,193.0,,,,,,,,,,,"1,789",17.0,,,,,,,113.0,34.0,14.0,7.0,3.0,22.0,15.0,,,,,,,,,,,,,,,,,,,,,,
Deuce Vaughn,,,,,,,0.0,0.0,13.0,0.0,0.0,15.0,2.1,1.2%,,,,,,,,,,,,,,1.7,1.7,24.0,1.0,0.7,5.0,-10.0,0.0,8.0,23.0,40,,,,,,,,,40.0,5.7,,,16.0,0.0,13.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,100.0,7.0,RB,DAL,0,3,-,1,1,-,bye,0,-,1,-,-,-,-,-,-,1,-,7.0,1.0
Deven Thompkins,,,,1.0,8,0.0,,,26.0,1.0,1.0,34.9,2.1,0.2%,,,,,,,,,,,,,,,,,,,,,,,,56.0,-1,-0.1,9.1,84.0,4.9,0.9,4.5%,17.0,83,4.9,154,0.0,16.0,1.0,26.0,4.0,17.0,25.0,1.0,1.0,0.0,0.0,0.0,134.0,17.0,WR,TB,3,0,4,4,bye,4,3,0,0,2,1,0,1,0,0,0,2,1,25.0,1.5
Devin Asiasi,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,126.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Devin Duvernay,,,,0.0,4,0.0,,,10.0,0.0,0.0,7.3,0.6,0.1%,,,,,,,,,,,,,,,,,,,,,,,,15.0,1,0.3,20.3,17.0,4.3,0.8,1.9%,5.0,18,4.5,81,1.0,3.0,0.0,10.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,182.0,13.0,WR,BAL,0,3,1,2,1,0,0,0,2,0,0,0,bye,0,-,-,-,-,9.0,0.7
Devin Singletary,,,,,,,4.0,0.0,24.0,3.0,0.0,167.3,9.8,80.7%,,,,,,,,,,,,,,4.2,4.2,551.0,2.6,1.6,19.0,-40.0,11.0,42.0,216.0,898,,,,,,,,,193.0,6.4,,,347.0,10.0,24.0,4.0,30.0,38.0,23.0,3.0,0.0,0.0,0.0,32.0,17.0,RB,HOU,0,1,2,1,1,2,bye,2,2,2,2,7,1,3,5,3,3,1,38.0,2.2
Devine Ozigbo,,,,,,,0.0,0.0,4.0,0.0,0.0,2.3,1.2,0.0%,,,,,,,,,,,,,,1.7,1.7,2.0,0.7,1.0,1.0,-3.0,0.0,0.0,3.0,5,,,,,,,,,8.0,8.0,,,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,135.0,2.0,RB,DET,-,-,-,-,-,1,-,0,bye,-,-,-,-,-,-,-,-,-,1.0,0.5
Devon Allen,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,297.0,1.0,WR,PHI,-,-,0,-,-,-,-,-,-,bye,-,-,-,-,-,-,-,-,0.0,0.0
Dez Fitzpatrick,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,224.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,,,,5.0,0,0.0,,,71.0,18.0,0.0,152.7,11.7,80.2%,,,,,,,,,,,,,,,,,,,,,,,,0.0,456,8.9,21.9,261.0,5.1,1.3,18.0%,54.0,717,14.1,"1,115",2.0,67.0,4.0,71.0,10.0,51.0,87.0,27.0,10.0,5.0,2.0,1.0,45.0,13.0,WR,PIT,6,-,-,-,-,bye,6,14,9,4,8,8,5,7,6,5,4,5,87.0,6.7
Dominique Curry,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,179.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Donald Parham Jr.,,,,,,,4.0,0.0,24.0,2.0,0.0,79.5,5.7,2.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,159.0,5.9,11.3,126.0,4.7,2.5,6.7%,30.0,285,10.6,306,3.0,67.0,1.0,24.0,10.0,27.0,41.0,15.0,2.0,0.0,0.0,0.0,28.0,14.0,TE,LAC,3,2,2,1,bye,3,3,5,2,2,6,0,4,2,-,-,-,6,41.0,2.9
Donovan Peoples-Jones,,,,0.0,0,0.0,,,29.0,2.0,0.0,28.5,1.9,2.2%,,,,,,,,,,,,,,,,,,,,,,,,0.0,120,9.2,20.0,35.0,2.7,0.6,4.2%,13.0,155,11.9,260,0.0,8.0,0.0,29.0,1.0,13.0,25.0,7.0,2.0,0.0,0.0,0.0,143.0,15.0,WR,DET,2,4,4,4,-,1,3,0,bye,-,1,0,1,1,1,1,0,2,25.0,1.7
Dontayvion Wicks,,,,4.0,1,0.0,,,35.0,14.0,1.0,119.8,8.0,7.1%,,,,,,,,,,,,,,,,,,,,,,,,1.0,369,9.5,15.0,211.0,5.4,2.6,10.3%,42.0,581,14.9,586,3.0,101.0,5.0,35.0,8.0,39.0,58.0,26.0,11.0,3.0,0.0,0.0,58.0,15.0,WR,GB,2,4,6,1,1,bye,1,4,4,4,5,-,4,6,7,2,-,7,58.0,3.9
Dorian Thompson-Robinson,1.0,4.0,6.0,,,0.0,,,,,0.0,26.1,3.3,0.8%,2.4,2.4,6.0,10.0,7.0,38.0,21.0,15.0,50.0,60.0,112.0,53.6,440,3.9,,,,,,,,,14.0,65.0,,,,,,,,,,,272,11.0,,,,,,,17.0,1.0,0.0,0.0,0.0,52.0,8.0,,,,,,,,,,,,,,,,,,,,,,
Drake Dunsmore,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,180.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Drake London,,,,2.0,0,0.0,,,45.0,21.0,0.0,174.4,10.9,82.6%,,,,,,,,,,,,,,,,,,,,,,,,0.0,721,10.4,18.4,184.0,2.7,0.9,21.7%,73.0,905,13.1,"1,273",4.0,63.0,2.0,45.0,16.0,69.0,110.0,38.0,17.0,3.0,1.0,0.0,36.0,16.0,WR,ATL,1,8,6,7,9,12,7,7,-,4,bye,7,5,11,3,4,10,9,110.0,6.9
Dresser Winn,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Drew Lock,3.0,3.0,6.0,,,0.0,,,,,0.0,32.1,8.0,2.4%,3.8,2.3,6.0,1.0,7.0,14.0,12.0,4.0,66.0,48.0,76.0,63.2,543,7.1,,,,,,,,,5.0,14.0,,,,,,,,,,,289,6.0,,,,,,,19.0,10.0,3.0,1.0,1.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,
Drew Plitt,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,97.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,,,,,,,2.0,0.0,22.0,1.0,0.0,50.3,3.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-10.0,-0.5,1.3,173.0,7.9,1.3,4.6%,23.0,163,7.4,29,1.0,29.0,1.0,22.0,3.0,22.0,27.0,7.0,1.0,0.0,0.0,0.0,46.0,17.0,TE,CIN,0,0,1,1,0,1,bye,1,4,3,2,1,1,2,1,3,4,2,27.0,1.6
Duece Watts,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,244.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Durham Smythe,,,,,,,0.0,0.0,22.0,3.0,0.0,71.6,4.5,0.8%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,227.0,6.5,8.1,139.0,4.0,0.8,7.8%,37.0,366,10.5,284,1.0,27.0,0.0,22.0,4.0,35.0,43.0,16.0,3.0,0.0,0.0,0.0,34.0,16.0,TE,MIA,7,3,1,4,0,1,0,3,3,bye,-,3,0,3,4,5,3,3,43.0,2.7
Dwayne Washington,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,209.0,4.0,RB,DEN,-,-,-,-,-,-,0,0,bye,0,-,-,0,-,-,-,-,-,0.0,0.0
Dyami Brown,,,,1.0,1,0.0,,,35.0,4.0,0.0,35.0,2.1,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,92,7.7,32.3,76.0,6.3,0.9,3.8%,14.0,168,14.0,387,2.0,11.0,1.0,35.0,2.0,12.0,23.0,6.0,2.0,2.0,0.0,0.0,133.0,17.0,WR,WAS,0,3,1,3,3,1,0,0,4,2,3,1,1,bye,1,0,0,0,23.0,1.4
Dylan Drummond,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,275.0,1.0,WR,DET,-,-,-,-,0,-,-,-,bye,-,-,-,-,-,-,-,-,-,0.0,0.0
E.J. Jenkins,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,153.0,0.0,,,,,,,,,,,,,,,,,,,,,,
E.J. Perry,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Easop Winston Jr.,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,233.0,1.0,WR,SEA,-,-,-,-,bye,-,0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Easton Stick,3.0,1.0,14.0,,,1.0,,,,,4.0,68.1,13.6,5.4%,3.7,2.4,14.0,11.0,6.0,67.0,32.0,11.0,87.0,111.0,174.0,63.8,"1,129",6.5,,,,,,,,,27.0,144.0,,,,,,,,,,,644,8.0,,,,,,,41.0,12.0,2.0,2.0,2.0,43.0,5.0,,,,,,,,,,,,,,,,,,,,,,
Elijah Cooks,,,,0.0,0,0.0,,,23.0,1.0,0.0,6.8,0.8,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,30,10.0,11.0,8.0,2.7,0.3,0.7%,4.0,38,12.7,33,1.0,1.0,0.0,23.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,183.0,9.0,WR,JAC,-,-,-,-,-,0,0,0,bye,0,-,-,-,0,1,3,0,0,4.0,0.4
Elijah Dotson,,,,,,,0.0,0.0,2.0,0.0,0.0,3.9,1.0,0.1%,,,,,,,,,,,,,,1.5,1.5,3.0,0.8,0.8,0.0,0.0,0.0,2.0,4.0,6,,,,,,,,,13.0,6.5,,,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,128.0,4.0,RB,LAC,0,2,0,0,bye,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,0.5
Elijah Higgins,,,,,,,1.0,0.0,26.0,3.0,0.0,36.3,3.3,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,96.0,6.9,9.1,67.0,4.8,1.2,3.5%,15.0,163,11.6,128,2.0,17.0,0.0,26.0,2.0,14.0,19.0,7.0,3.0,0.0,0.0,0.0,58.0,11.0,TE,ARI,-,-,-,-,-,-,1,0,0,1,2,2,2,bye,4,3,2,2,19.0,1.7
Elijah Mitchell,,,,,,,2.0,0.0,18.0,0.0,0.0,47.5,4.3,16.3%,,,,,,,,,,,,,,3.7,3.7,147.0,2.0,1.8,7.0,-13.0,2.0,2.0,75.0,281,,,,,,,,,14.0,2.3,,,134.0,6.0,18.0,1.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0,64.0,11.0,RB,SF,1,-,3,-,-,0,0,1,bye,0,0,1,0,-,-,-,0,2,8.0,0.7
Elijah Moore,,,,2.0,9,0.0,,,42.0,13.0,2.0,132.1,7.8,40.0%,,,,,,,,,,,,,,,,,,,,,,,,11.0,449,7.6,19.4,191.0,3.2,0.6,17.4%,64.0,640,10.8,"1,143",5.0,38.0,4.0,42.0,13.0,59.0,104.0,27.0,9.0,3.0,1.0,0.0,54.0,17.0,WR,CLE,7,9,9,4,bye,7,7,5,2,7,7,9,12,6,3,4,6,0,104.0,6.1
Ellis Merriweather,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,173.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,,,,,,,0.0,0.0,31.0,2.0,0.0,14.8,2.1,0.1%,,,,,,,,,,,,,,6.1,6.1,67.0,4.8,1.3,1.0,-5.0,0.0,8.0,14.0,85,,,,,,,,,23.0,5.8,,,18.0,0.0,31.0,0.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,102.0,7.0,RB,GB,-,0,1,-,0,bye,2,-,0,0,2,-,-,-,-,-,-,-,5.0,0.7
Emari Demercado,,,,,,,2.0,0.0,49.0,3.0,0.0,73.3,5.2,4.4%,,,,,,,,,,,,,,4.9,4.9,171.0,2.9,1.9,5.0,-8.0,49.0,13.0,58.0,284,,,,,,,,,119.0,5.7,,,113.0,2.0,49.0,1.0,21.0,30.0,5.0,1.0,1.0,1.0,0.0,57.0,14.0,RB,ARI,0,2,0,4,3,1,5,1,-,-,-,0,0,bye,3,8,3,0,30.0,2.1
Eno Benjamin,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,145.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Equanimeous St. Brown,,,,0.0,0,0.0,,,21.0,1.0,0.0,11.2,1.6,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,55,11.0,10.6,7.0,1.4,0.4,1.3%,5.0,62,12.4,53,0.0,2.0,0.0,21.0,0.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,172.0,7.0,WR,CHI,-,-,-,1,1,-,-,-,-,1,2,0,bye,-,-,-,0,1,6.0,0.9
Eric Gray,,,,,,,0.0,0.0,12.0,0.0,0.0,13.0,0.9,0.1%,,,,,,,,,,,,,,2.8,2.8,26.0,1.5,1.3,3.0,-3.0,0.0,4.0,17.0,48,,,,,,,,,22.0,3.7,,,22.0,1.0,12.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,106.0,14.0,RB,NYG,0,0,0,0,1,0,0,-,-,-,0,0,bye,0,4,0,1,1,7.0,0.5
Eric Saubert,,,,,,,0.0,0.0,5.0,0.0,0.0,4.2,0.5,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,2.0,2.0,6.0,2.0,0.3,0.5%,3.0,12,4.0,6,0.0,1.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,101.0,8.0,TE,HOU,-,-,-,-,-,-,bye,-,0,0,-,0,1,0,-,0,1,1,3.0,0.4
Eric Tomlinson,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,199.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Erik Ainge,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,
