Player,PassTD,INT,SACKS,RecTD,RUSH_ATT,RushTD,RUSH_RECEIVE_TD,TD.1,LG,20+,FL,FPTS,FPTS/G,ROST,AIR/A,PKT TIME,SK,KNCK,HRRY,BLITZ,POOR,RZ ATT,RTG,CMP,PassATT,PCT,PassYDS,Y/A,Y/ATT,YBCON,YBCON/ATT,YACON/ATT,TK LOSS,TK LOSS YDS,LNG TD,YACON.1,RushATT,RushYDS,YBC,YBC/R,AIR/R,YAC,YAC/R,YACON/R,% TM,CATCHABLE,RecYDS,Y/R,AIR,DROP,YACON,BRKTKL,LNG,RZ TGT,REC,TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank,G,Pos,Team,week1Targets,week2Targets,week3Targts,week4Targets,week5Targets,week6Targets,week7Targets,week8Targets,week9Targets,week10Targets,week11Targets,week12Targets,week13Targets,week14Targets,week15Targets,week16Targets,week17Targets,week18Targets,TTL,AVG
Armani Rogers,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,162.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,214.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,,,,,,,5.0,1.0,55.0,7.0,4.0,185.4,13.2,99.1%,,,,,,,,,,,,,,3.5,3.5,357.0,2.0,1.5,16.0,-40.0,3.0,124.0,179.0,628,,,,,,,,,436.0,8.5,,,271.0,9.0,55.0,9.0,51.0,74.0,7.0,3.0,2.0,1.0,1.0,26.0,14.0,RB,LAC,5,-,-,-,bye,6,2,8,7,7,3,6,3,7,6,4,2,8,74.0,5.3
Austin Hooper,,,,,,,0.0,0.0,21.0,2.0,0.0,48.4,2.8,0.4%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,92.0,3.7,5.2,142.0,5.7,1.9,5.8%,26.0,234,9.4,130,1.0,47.0,2.0,21.0,3.0,25.0,31.0,10.0,2.0,0.0,0.0,0.0,48.0,17.0,TE,LV,1,2,0,2,2,2,2,2,1,1,1,2,bye,1,1,3,3,5,31.0,1.8
Austin Mack,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,229.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,,,,0.0,0,0.0,,,14.0,0.0,1.0,4.9,0.3,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,-6,-1.5,6.3,35.0,8.8,0.3,1.3%,4.0,29,7.3,25,0.0,1.0,0.0,14.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,190.0,15.0,WR,LAR,-,0,-,0,0,0,0,0,1,bye,6,0,0,0,0,0,0,0,7.0,0.5
Austin Walter,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,147.0,1.0,RB,LV,-,-,-,-,-,-,-,-,-,-,0,-,bye,-,-,-,-,-,0.0,0.0
Austin Watkins Jr.,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,288.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Avery Williams,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,185.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bailey Zappe,6.0,9.0,25.0,,,1.0,,,,,1.0,78.2,7.8,1.9%,3.5,2.4,25.0,11.0,14.0,82.0,41.0,9.0,62.0,127.0,212.0,59.9,"1,272",6.0,,,,,,,,,17.0,83.0,,,,,,,,,,,737,7.0,,,,,,,49.0,17.0,6.0,2.0,0.0,38.0,10.0,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,28.0,10.0,40.0,,,1.0,,,,,3.0,284.0,16.7,66.2%,4.2,2.4,40.0,35.0,37.0,140.0,81.0,60.0,95.0,364.0,566.0,64.3,"4,044",7.1,,,,,,,,,62.0,163.0,,,,,,,,,,,"2,370",24.0,,,,,,,145.0,60.0,22.0,12.0,5.0,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,
Ben Chappell,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Ben DiNucci,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Ben Mason,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,184.0,1.0,RB,BAL,-,-,-,-,-,-,-,-,-,-,-,-,bye,-,-,-,-,0,0.0,0.0
Ben Sims,,,,,,,1.0,0.0,12.0,0.0,0.0,12.1,0.8,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.8,7.5,18.0,4.5,3.0,1.1%,4.0,21,5.3,30,0.0,12.0,0.0,12.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,85.0,16.0,TE,GB,0,0,0,0,1,bye,1,0,0,-,0,1,1,0,1,0,1,0,6.0,0.4
Ben Skowronek,,,,1.0,2,0.0,,,20.0,1.0,0.0,21.5,1.3,0.1%,,,,,,,,,,,,,,,,,,,,,,,,9.0,36,4.5,11.0,30.0,3.8,1.0,2.2%,8.0,66,8.3,88,0.0,8.0,0.0,20.0,1.0,8.0,12.0,3.0,1.0,0.0,0.0,0.0,156.0,17.0,WR,LAR,2,1,1,0,1,0,0,1,0,bye,0,1,3,0,0,0,0,2,12.0,0.7
Bernhard Seikovits,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,169.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,,,,,,,4.0,4.0,38.0,9.0,3.0,246.3,14.5,99.6%,,,,,,,,,,,,,,4.6,4.6,568.0,2.7,1.9,22.0,-49.0,13.0,100.0,214.0,976,,,,,,,,,487.0,8.4,,,408.0,15.0,38.0,10.0,58.0,86.0,30.0,7.0,2.0,0.0,0.0,9.0,17.0,RB,ATL,6,5,6,5,2,8,0,5,4,2,bye,6,5,7,3,10,4,8,86.0,5.1
Blaine Gabbert,0.0,3.0,1.0,,,0.0,,,,,0.0,8.9,4.5,0.4%,2.4,1.9,1.0,10.0,0.0,10.0,6.0,1.0,45.0,18.0,35.0,51.4,185,5.3,,,,,,,,,7.0,45.0,,,,,,,,,,,85,5.0,,,,,,,8.0,2.0,1.0,0.0,0.0,66.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Blake Bell,,,,,,,1.0,0.0,8.0,0.0,1.0,11.6,0.7,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,1.4,6.0,19.0,3.8,1.0,1.5%,6.0,26,5.2,30,1.0,5.0,0.0,8.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,86.0,17.0,TE,KC,3,0,0,0,0,0,1,1,0,bye,0,0,0,0,1,1,0,2,9.0,0.5
Blake Whiteheart,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,149.0,1.0,TE,ARI,-,-,-,-,-,-,-,-,-,-,-,-,-,bye,-,0,-,-,0.0,0.0
Bo Melton,,,,1.0,3,0.0,,,37.0,4.0,0.0,45.9,11.5,0.4%,,,,,,,,,,,,,,,,,,,,,,,,21.0,181,11.3,16.7,37.0,2.3,1.0,4.3%,17.0,218,13.6,267,1.0,16.0,0.0,37.0,3.0,16.0,24.0,10.0,3.0,1.0,0.0,0.0,116.0,4.0,WR,GB,-,-,-,-,-,bye,-,-,-,-,-,-,-,-,2,6,9,7,24.0,6.0
Bobby Wade,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,318.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Boston Scott,,,,,,,0.0,0.0,18.0,0.0,1.0,15.8,1.3,0.4%,,,,,,,,,,,,,,4.3,4.3,53.0,2.7,1.7,1.0,-7.0,0.0,3.0,20.0,86,,,,,,,,,52.0,13.0,,,33.0,2.0,18.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,99.0,12.0,RB,PHI,1,0,-,-,-,1,0,1,-,bye,0,1,1,0,0,0,-,1,6.0,0.5
Brad Cottam,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,186.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Brady Russell,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,152.0,10.0,TE,SEA,-,-,0,-,bye,-,0,0,-,0,0,-,0,0,0,0,-,0,0.0,0.0
Brandin Cooks,,,,8.0,5,0.0,,,37.0,16.0,0.0,173.2,10.8,69.6%,,,,,,,,,,,,,,,,,,,,,,,,35.0,532,9.9,19.8,125.0,2.3,0.8,13.4%,57.0,657,12.2,"1,070",3.0,42.0,0.0,37.0,12.0,54.0,81.0,23.0,11.0,5.0,0.0,0.0,38.0,16.0,WR,DAL,4,-,7,4,4,4,bye,4,2,10,4,5,4,5,6,2,8,8,81.0,5.1
