season,sleeper_id,player,position,team,injury_probability,injuries_per_season,injury_probability_per_game,projected_games_missed,durability,updated_at
2026,6801,Tee Higgins,WR,CIN,0.66,2.3,0.06,1.6,5.0,2026 copied table
2026,8146,Garrett Wilson,WR,NYJ,0.38,1,0.03,1.5,5.0,2026 copied table
2026,13287,Jeremiyah Love,RB,ARI,0.34,TBD,0.02,1.2,5.0,2026 copied table
2026,7525,DeVonta Smith,WR,PHI,0.5,1.2,0.04,3.5,5.0,2026 copied table
2026,1373,Geno Smith,QB,NYJ,0.36,0.7,0.03,2.3,5.0,2026 copied table
2026,12517,Colston Loveland,TE,CHI,0.6,2,0.05,1.0,3.8,2026 copied table
2026,11632,Malik Nabers,WR,NYG,0.39,2.5,0.03,0.9,1.1,2026 copied table
2026,13269,Fernando Mendoza,QB,LVR,0.23,TBD,0.02,0.9,5.0,2026 copied table
2026,7588,Javonte Williams,RB,DAL,0.43,0.8,0.03,1.9,5.0,2026 copied table
2026,7526,Jaylen Waddle,WR,DEN,0.37,1,0.03,1.5,5.0,2026 copied table
2026,8150,Kyren Williams,RB,LAR,0.52,1,0.04,1.7,4.3,2026 copied table
2026,2133,Davante Adams,WR,LAR,0.49,1.1,0.04,2.9,5.0,2026 copied table
2026,12481,Cameron Skattebo,RB,NYG,0.72,1,0.07,0.9,0.8,2026 copied table
2026,12518,Tyler Warren,TE,IND,0.36,0,0.03,1.3,5.0,2026 copied table
2026,7543,Travis Etienne,RB,NO,0.45,0.5,0.03,1.4,3.5,2026 copied table
2026,8167,Christian Watson,WR,GB,0.25,2.2,0.02,0.8,2.4,2026 copied table
2026,12526,Tetairoa McMillan,WR,CAR,0.37,1,0.03,1.4,5.0,2026 copied table
2026,12514,Emeka Egbuka,WR,TB,0.42,1,0.03,3.3,4.9,2026 copied table
2026,12519,Luther Burden III,WR,CHI,0.54,3,0.04,1.4,5.0,2026 copied table
2026,6790,D'Andre Swift,RB,CHI,0.42,0.8,0.03,1.6,5.0,2026 copied table
2026,11635,Ladd McConkey,WR,LAC,0.42,1,0.03,3.1,5.0,2026 copied table
2026,5927,Terry McLaurin,WR,WAS,0.37,1.4,0.03,2.1,5.0,2026 copied table
2026,2216,Mike Evans,WR,SF,0.65,1.2,0.06,2.4,5.0,2026 copied table
2026,5892,David Montgomery,RB,HOU,0.85,1.1,0.11,1.9,5.0,2026 copied table
2026,8148,Jameson Williams,WR,DET,0.36,0.8,0.03,1.4,5.0,2026 copied table
2026,11584,Bucky Irving,RB,TB,0.63,1.5,0.06,2.1,4.2,2026 copied table
2026,4983,D.J. Moore,WR,BUF,0.54,1,0.04,2.7,5.0,2026 copied table
2026,5846,D.K. Metcalf,WR,PIT,0.36,0.9,0.03,1.1,5.0,2026 copied table
2026,11620,Rome Odunze,WR,CHI,0.36,1,0.03,1.5,5.0,2026 copied table
2026,8228,Jaylen Warren,RB,PIT,0.66,1,0.06,1.4,5.0,2026 copied table
2026,6819,Michael Pittman Jr.,WR,PIT,0.6,1.5,0.05,2.8,5.0,2026 copied table
2026,5045,Courtland Sutton,WR,DEN,0.43,0.8,0.03,3.6,4.9,2026 copied table
2026,13279,Carnell Tate,WR,TEN,0.4,TBD,0.03,2.9,4.0,2026 copied table
2026,9484,Tucker Kraft,TE,GB,0.39,1.3,0.03,2.2,2.7,2026 copied table
2026,12512,Quinshon Judkins,RB,CLE,0.48,2,0.04,0.9,5.0,2026 copied table
2026,10222,Jayden Reed,WR,GB,0.36,1.3,0.03,2.0,4.1,2026 copied table
2026,12529,TreVeyon Henderson,RB,NE,0.64,1,0.06,1.1,5.0,2026 copied table
2026,12506,Harold Fannin Jr.,TE,CLE,0.57,1,0.05,1.6,5.0,2026 copied table
2026,9756,Jordan Addison,WR,MIN,0.37,1.3,0.03,2.1,5.0,2026 copied table
2026,10859,Sam LaPorta,TE,DET,0.6,2,0.05,2.4,5.0,2026 copied table
2026,11628,Marvin Harrison Jr.,WR,ARI,0.55,2.5,0.05,1.8,5.0,2026 copied table
2026,13281,Jordyn Tyson,WR,NO,0.45,TBD,0.03,3.2,0.7,2026 copied table
2026,5947,Jakobi Meyers,WR,JAC,0.37,0.6,0.03,1.6,5.0,2026 copied table
2026,9500,Josh Downs,WR,IND,0.61,1.7,0.05,2.7,5.0,2026 copied table
2026,7611,Rhamondre Stevenson,RB,NE,0.64,1.4,0.06,2.0,5.0,2026 copied table
2026,11631,Brian Thomas Jr.,WR,JAC,0.35,2.5,0.03,1.9,5.0,2026 copied table
2026,9754,Quentin Johnston,WR,LAC,0.56,1.3,0.05,2.8,5.0,2026 copied table
2026,4037,Chris Godwin,WR,TB,0.4,1,0.03,3.3,5.0,2026 copied table
2026,8142,Alec Pierce,WR,IND,0.67,0.8,0.06,2.7,5.0,2026 copied table
2026,7553,Kyle Pitts,TE,ATL,0.53,1,0.04,3.1,5.0,2026 copied table
2026,4217,George Kittle,TE,SF,0.44,1.8,0.03,2.3,4.7,2026 copied table
2026,1466,Travis Kelce,TE,KC,0.42,0.8,0.03,2.4,5.0,2026 copied table
2026,11624,Xavier Worthy,WR,KC,0.35,1,0.03,1.9,5.0,2026 copied table
2026,12490,Bhayshul Tuten,RB,JAC,0.43,2,0.03,0.7,5.0,2026 copied table
2026,7021,Rico Dowdle,RB,PIT,0.27,0,0.02,1.0,5.0,2026 copied table
2026,5967,Tony Pollard,RB,TEN,0.35,0.4,0.03,0.9,5.0,2026 copied table
2026,8121,Romeo Doubs,WR,NE,0.37,1,0.03,2.0,5.0,2026 copied table
