"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Dalton Kincaid","TE","BUF","4","6","2","5","2","-","8","7","11","6","7","6","bye","8","2","2","7","8","91","5.7"
"Kyle Pitts","TE","ATL","3","5","9","4","11","6","5","5","5","5","bye","2","8","6","4","4","5","3","90","5.3"
"George Kittle","TE","SF","6","3","9","1","4","2","7","11","bye","4","9","5","6","5","4","10","4","-","90","5.6"
"Cole Kmet","TE","CHI","7","6","2","9","5","3","0","10","8","7","4","7","bye","6","7","5","0","4","90","5.3"
"Courtland Sutton","WR","DEN","5","7","11","5","3","6","6","3","bye","11","5","6","7","4","6","1","-","4","90","5.6"
"Deebo Samuel","WR","SF","7","9","12","0","3","1","-","-","bye","4","4","9","4","9","7","12","6","2","89","5.9"
"Dalton Schultz","TE","HOU","4","7","3","3","10","7","bye","5","11","6","3","2","-","-","5","11","4","7","88","5.9"
"Diontae Johnson","WR","PIT","6","-","-","-","-","bye","6","14","9","4","8","8","5","7","6","5","4","5","87","6.7"
"Tyler Conklin","TE","NYJ","1","6","5","6","5","4","bye","2","6","7","3","5","9","6","7","7","5","3","87","5.1"
"Jerry Jeudy","WR","DEN","-","5","7","5","7","5","5","6","bye","3","7","3","4","6","7","5","6","6","87","5.4"
"Bijan Robinson","RB","ATL","6","5","6","5","2","8","0","5","4","2","bye","6","5","7","3","10","4","8","86","5.1"
"Alvin Kamara","RB","NO","-","-","-","14","3","8","14","5","5","7","bye","5","8","4","5","6","2","-","86","6.6"
"Jonathan Mingo","WR","CAR","5","8","6","-","7","3","bye","5","4","7","6","6","10","9","5","1","3","-","85","5.7"
"Christian Kirk","WR","JAC","3","14","6","12","8","6","6","5","bye","11","6","7","1","-","-","-","-","-","85","7.1"
"Christian McCaffrey","RB","SF","5","3","5","8","3","3","3","7","bye","10","5","6","4","1","5","10","5","-","83","5.2"
"Jahan Dotson","WR","WAS","7","5","4","9","5","1","8","10","8","2","4","6","5","bye","1","4","1","3","83","4.9"
"Dallas Goedert","TE","PHI","1","7","7","4","9","8","5","7","4","bye","-","-","-","4","9","9","6","3","83","5.9"
"Brandin Cooks","WR","DAL","4","-","7","4","4","4","bye","4","2","10","4","5","4","5","6","2","8","8","81","5.1"
"Gabe Davis","WR","BUF","4","7","4","3","8","4","5","12","2","6","0","12","bye","2","1","6","3","2","81","4.8"
"Demario Douglas","WR","NE","7","2","3","3","2","-","6","7","7","9","bye","9","-","-","5","8","5","6","79","5.6"
"Darius Slayton","WR","NYG","5","6","6","3","4","6","2","2","7","4","5","3","bye","2","8","3","6","7","79","4.6"
"Logan Thomas","TE","WAS","8","3","-","3","11","1","6","8","5","5","8","4","1","bye","3","6","4","2","78","4.9"
"Wan'Dale Robinson","WR","NYG","-","-","5","6","6","8","2","1","5","3","4","5","bye","7","4","7","9","6","78","5.2"
"Chigoziem Okonkwo","TE","TEN","2","4","4","3","9","4","bye","5","4","6","2","5","6","6","3","7","4","3","77","4.5"
"Tee Higgins","WR","CIN","8","12","8","4","-","4","bye","6","9","-","-","-","3","4","8","8","2","-","76","6.3"
"Robert Woods","WR","HOU","10","9","6","6","9","3","bye","-","-","3","8","3","0","3","5","6","4","-","75","5.4"
"Tank Dell","WR","HOU","4","10","7","3","4","-","bye","4","11","14","10","8","0","-","-","-","-","-","75","6.8"
"Rashid Shaheed","WR","NO","6","4","2","7","2","6","8","3","3","9","bye","5","-","0","4","9","3","4","75","4.7"
"K.J. Osborn","WR","MIN","6","6","3","2","9","5","6","10","2","-","2","4","bye","7","2","7","0","4","75","4.7"
"Jaylen Warren","RB","PIT","6","6","4","6","3","bye","2","5","3","4","3","3","3","5","6","6","4","5","74","4.4"
"Austin Ekeler","RB","LAC","5","-","-","-","bye","6","2","8","7","7","3","6","3","7","6","4","2","8","74","5.3"
"Darren Waller","TE","NYG","5","8","7","3","11","7","8","2","-","-","-","-","bye","-","6","5","6","6","74","6.2"
"Travis Etienne Jr.","RB","JAC","5","3","5","3","5","3","5","6","bye","4","3","6","4","4","6","3","2","6","73","4.3"
"Jahmyr Gibbs","RB","DET","2","9","2","5","-","-","10","5","bye","5","6","8","2","4","2","7","3","1","71","4.7"
"Jonnu Smith","TE","ATL","0","6","8","6","7","5","3","1","6","3","bye","0","3","7","2","6","4","3","70","4.1"
"Tyjae Spears","RB","TEN","4","2","4","4","5","1","bye","4","6","5","2","3","6","8","1","6","6","3","70","4.1"
"Rachaad White","RB","TB","2","5","3","3","bye","4","6","7","4","3","7","2","5","2","2","7","4","4","70","4.1"
"Gerald Everett","TE","LAC","3","3","6","2","bye","5","4","-","2","2","-","4","5","8","8","8","9","1","70","4.7"
"Tyler Higbee","TE","LAR","3","7","5","11","3","3","3","7","1","bye","3","5","4","-","5","3","7","-","70","4.7"
"Trey Palmer","WR","TB","3","2","1","3","bye","7","2","6","4","4","6","5","5","1","2","6","5","6","68","4.0"
"Cade Otton","TE","TB","3","6","2","4","bye","2","6","6","9","3","5","4","0","5","2","1","6","3","67","3.9"
"Quentin Johnston","WR","LAC","3","2","3","3","bye","2","2","6","3","4","6","3","7","4","3","5","6","5","67","3.9"
"Tutu Atwell","WR","LAR","8","9","9","9","5","1","2","4","7","bye","3","3","2","1","-","0","0","4","67","4.2"
"Tony Pollard","RB","DAL","3","8","3","3","5","7","bye","1","5","0","5","6","4","8","3","1","3","2","67","3.9"
"DJ Chark Jr.","WR","CAR","-","1","11","3","6","6","bye","4","3","-","0","4","4","4","2","8","6","4","66","4.4"
"Alec Pierce","WR","IND","3","2","7","2","2","6","3","5","2","1","bye","6","6","3","5","7","1","4","65","3.8"
