"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Andrei Iosivas","WR","CIN","0","0","0","0","2","1","bye","1","1","1","-","2","0","0","2","8","0","7","25","1.6"
"Foster Moreau","TE","NO","0","2","-","-","1","4","4","0","1","0","bye","0","2","2","5","2","1","1","25","1.7"
"Jake Bobo","WR","SEA","0","1","2","1","bye","2","5","2","0","2","2","1","1","0","1","3","1","1","25","1.5"
"Donovan Peoples-Jones","WR","DET","2","4","4","4","-","1","3","0","bye","-","1","0","1","1","1","1","0","2","25","1.7"
"Ty Chandler","RB","MIN","1","2","2","0","0","0","1","0","-","0","4","2","bye","3","4","0","3","3","25","1.6"
"Deven Thompkins","WR","TB","3","0","4","4","bye","4","3","0","0","2","1","0","1","0","0","0","2","1","25","1.5"
"David Montgomery","RB","DET","0","1","-","2","6","1","-","-","bye","0","2","1","2","3","3","2","1","0","24","1.7"
"Malik Heath","WR","GB","1","1","2","-","-","bye","-","-","1","0","1","4","2","2","3","1","2","4","24","1.8"
"Ameer Abdullah","RB","LV","1","3","3","2","1","1","0","1","2","1","1","1","bye","2","2","1","1","1","24","1.4"
"Mecole Hardman Jr.","WR","KC","-","1","0","0","-","2","3","2","3","bye","2","-","-","-","-","-","0","11","24","2.4"
"Stephen Sullivan","TE","CAR","-","-","-","-","-","0","bye","1","5","-","1","1","2","4","1","5","2","2","24","2.2"
"Bo Melton","WR","GB","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","2","6","9","7","24","6.0"
"KhaDarel Hodge","WR","ATL","0","0","1","2","1","1","1","3","6","0","bye","0","1","2","1","1","2","1","23","1.4"
"Johnny Mundt","TE","MIN","0","0","0","0","1","0","0","1","1","2","0","0","bye","1","1","3","7","6","23","1.4"
"Tyler Allgeier","RB","ATL","3","0","3","2","1","1","3","0","3","1","bye","0","0","0","1","1","1","3","23","1.4"
"David Bell","WR","CLE","1","3","0","0","bye","3","0","0","-","-","0","2","2","3","0","2","3","4","23","1.5"
"Jordan Akins","TE","CLE","1","1","0","2","bye","2","0","1","3","1","0","0","1","1","1","2","1","6","23","1.4"
"Dyami Brown","WR","WAS","0","3","1","3","3","1","0","0","4","2","3","1","1","bye","1","0","0","0","23","1.4"
"Salvon Ahmed","RB","MIA","3","3","-","0","-","5","2","4","3","bye","3","0","-","-","-","-","-","-","23","2.6"
"Jonathan Taylor","RB","IND","-","-","-","-","1","6","4","2","5","1","bye","0","-","-","-","1","1","2","23","2.3"
"Tyquan Thornton","WR","NE","-","-","-","-","-","2","1","-","4","-","bye","5","1","5","1","1","3","-","23","2.6"
"Jalen Reagor","WR","NE","-","-","-","-","-","0","1","2","6","0","bye","-","1","1","2","2","3","5","23","2.1"
"Jeremy Ruckert","TE","NYJ","0","0","0","2","1","1","bye","1","1","0","4","4","3","3","2","0","-","-","22","1.5"
"Trent Sherfield","WR","BUF","0","0","3","3","1","0","1","0","2","0","0","3","bye","2","0","0","3","4","22","1.3"
"Clyde Edwards-Helaire","RB","KC","1","2","1","1","0","1","1","0","-","bye","0","0","2","4","4","3","-","2","22","1.5"
"Mo Alie-Cox","TE","IND","2","1","0","1","1","0","1","2","0","1","bye","1","0","1","3","1","3","4","22","1.3"
"Will Dissly","TE","SEA","2","3","-","0","bye","1","0","0","1","2","3","1","2","1","2","1","0","3","22","1.4"
"Sterling Shepard","WR","NYG","1","1","0","1","2","0","1","-","0","4","3","3","bye","-","0","0","1","5","22","1.5"
"Rico Dowdle","RB","DAL","0","1","3","1","1","0","bye","2","0","0","2","1","1","1","3","2","-","4","22","1.4"
"Latavius Murray","RB","BUF","2","2","1","2","1","0","2","1","1","3","0","5","bye","1","0","0","1","-","22","1.4"
"Byron Pringle","WR","WAS","-","1","0","2","2","0","1","1","4","2","3","2","0","bye","1","2","1","0","22","1.4"
"Kyle Philips","WR","TEN","-","-","-","-","1","2","bye","3","5","5","1","2","-","0","-","-","-","3","22","2.4"
"Stone Smartt","TE","LAC","0","1","0","1","bye","0","1","0","1","3","3","1","1","-","3","1","2","3","21","1.3"
"Andrew Ogletree","TE","IND","2","-","2","4","2","1","0","3","3","-","bye","-","1","2","1","0","-","-","21","1.8"
"Jamal Agnew","WR","JAC","0","1","5","-","0","0","6","0","bye","0","-","-","-","-","2","5","2","-","21","1.9"
"Quez Watkins","WR","PHI","2","0","-","-","3","-","-","-","-","bye","-","0","4","0","1","0","-","11","21","2.3"
"Chase Claypool","WR","MIA","2","8","4","-","-","-","0","2","0","bye","-","-","-","0","2","0","1","2","21","1.9"
"Matt Breida","RB","NYG","1","0","3","5","1","1","1","1","2","0","1","1","bye","0","3","1","0","0","21","1.2"
"Deonte Harty","WR","BUF","4","3","3","2","2","1","1","0","1","1","1","-","bye","1","0","0","0","1","21","1.3"
"Brevin Jordan","TE","HOU","-","2","2","0","0","1","bye","-","-","-","0","2","5","3","1","3","2","0","21","1.6"
"Kareem Hunt","RB","CLE","-","-","3","0","bye","3","1","1","1","0","3","0","1","1","1","4","1","1","21","1.4"
"Parker Washington","WR","JAC","-","-","-","0","-","-","-","-","bye","-","0","0","6","3","6","4","1","1","21","2.3"
"Jalen Guyton","WR","LAC","-","-","-","-","bye","-","-","-","2","6","-","5","3","1","2","2","0","-","21","2.6"
"Olamide Zaccheaus","WR","PHI","0","0","3","2","0","2","1","2","2","bye","1","1","0","1","0","1","0","4","20","1.2"
"Harrison Bryant","TE","CLE","2","2","0","1","bye","1","1","1","0","1","0","1","5","0","1","1","3","0","20","1.2"
"Jamison Crowder","WR","WAS","0","0","0","0","2","0","0","7","6","1","2","0","0","bye","0","1","0","1","20","1.2"
"Jamaal Williams","RB","NO","2","0","-","-","-","-","0","1","3","1","bye","2","1","1","1","1","4","3","20","1.5"
"Dalvin Cook","RB","NYJ","3","1","3","1","0","1","bye","0","2","1","1","3","2","1","1","0","-","-","20","1.3"
"Xavier Hutchinson","WR","HOU","1","1","-","0","0","0","bye","0","0","1","0","1","-","3","3","2","3","4","19","1.3"
"Lil'Jordan Humphrey","WR","DEN","2","2","0","1","0","0","0","0","bye","1","1","1","1","1","4","0","4","1","19","1.1"
"Zamir White","RB","LV","1","0","0","0","-","2","3","0","0","0","-","0","bye","0","4","1","6","2","19","1.3"
"Elijah Higgins","TE","ARI","-","-","-","-","-","-","1","0","0","1","2","2","2","bye","4","3","2","2","19","1.7"
"Julio Jones","WR","PHI","-","-","-","-","-","-","1","2","0","bye","2","3","0","0","1","4","2","4","19","1.7"
"Tim Jones","WR","JAC","0","0","3","1","1","0","2","0","bye","2","0","0","1","0","0","5","1","2","18","1.1"
"Samori Toure","WR","GB","3","2","3","1","0","bye","2","0","-","-","-","0","-","4","-","2","1","-","18","1.6"
"KaVontae Turpin","WR","DAL","3","1","0","1","1","0","bye","2","1","-","3","1","3","1","0","1","0","0","18","1.1"
"A.T. Perry","WR","NO","-","-","-","-","-","-","-","0","0","4","bye","2","3","1","2","1","2","3","18","1.8"
"Kyle Juszczyk","RB","SF","0","0","0","1","4","1","0","0","bye","3","0","1","0","0","2","2","3","0","17","1.0"
"Dameon Pierce","RB","HOU","3","3","3","2","1","0","bye","0","-","-","-","1","0","1","0","2","1","0","17","1.2"
"Chase Edmonds","RB","TB","0","0","-","-","bye","-","-","3","1","1","1","1","1","2","0","0","6","1","17","1.3"
"Derius Davis","WR","LAC","1","0","1","2","bye","0","2","2","1","2","1","1","0","0","2","1","0","1","17","1.0"
"Robert Tonyan","TE","CHI","0","2","0","2","2","1","0","1","1","0","0","1","bye","0","1","1","4","1","17","1.0"
"Patrick Taylor Jr.","RB","GB","0","1","4","-","5","bye","-","-","-","-","-","1","1","2","2","1","0","0","17","1.5"
"Randall Cobb","WR","NYJ","1","1","2","4","1","3","bye","-","-","-","-","0","-","1","3","-","0","1","17","1.5"
"Jeff Wilson Jr.","RB","MIA","-","-","-","-","-","-","1","2","4","bye","-","3","0","0","2","1","4","0","17","1.7"
"Scott Miller","WR","ATL","0","0","0","0","2","2","1","2","0","1","bye","2","0","3","0","1","0","2","16","0.9"
"Alec Ingold","RB","MIA","2","0","0","1","0","0","0","2","1","bye","4","0","1","1","0","2","2","0","16","0.9"
"D'Onta Foreman","RB","CHI","3","-","-","-","-","1","5","2","0","2","0","-","bye","3","0","-","-","-","16","1.8"
"Lynn Bowden Jr.","WR","NO","-","-","0","1","0","0","0","0","0","1","bye","2","1","4","5","0","1","1","16","1.1"
"Josh Whyle","TE","TEN","0","0","0","2","1","1","bye","-","1","5","2","1","2","-","-","-","-","-","15","1.4"
"Luke Farrell","TE","JAC","0","0","1","2","1","0","0","1","bye","0","2","5","1","0","1","0","1","0","15","0.9"
"Pharaoh Brown","TE","NE","0","0","2","0","0","1","2","2","0","0","bye","0","0","1","1","2","1","3","15","0.9"
"Luke Schoonmaker","TE","DAL","0","1","1","3","1","0","bye","1","1","1","2","2","1","0","0","1","0","0","15","0.9"
"Ray-Ray McCloud III","WR","SF","0","0","0","2","1","2","3","2","bye","0","0","1","-","-","-","-","-","4","15","1.3"
"Cole Turner","TE","WAS","2","2","7","0","1","0","0","-","0","-","1","1","1","bye","-","0","-","-","15","1.3"
"Zach Pascal","WR","ARI","1","1","0","4","1","1","-","1","1","1","-","0","-","bye","4","0","0","0","15","1.1"
"Chase Brown","RB","CIN","-","0","0","1","1","1","bye","-","-","-","-","0","0","3","3","2","2","2","15","1.3"
"Richie James Jr.","WR","KC","2","1","-","-","-","-","-","-","-","bye","-","0","2","2","1","3","1","2","14","1.6"
"Brock Wright","TE","DET","2","0","0","0","3","1","0","1","bye","3","0","1","1","2","0","-","-","-","14","1.0"
"Isaiah McKenzie","WR","IND","0","1","1","3","0","2","0","0","3","4","bye","0","0","0","-","-","-","-","14","1.1"
"Darrell Henderson Jr.","RB","LAR","-","-","-","-","-","-","2","3","2","bye","7","-","-","-","-","-","-","-","14","3.5"
"Lucas Krull","TE","DEN","-","-","-","-","-","-","-","-","bye","1","-","-","1","1","3","5","2","1","14","2.0"
"Ronnie Bell","WR","SF","0","0","2","1","1","0","-","0","bye","1","0","0","0","0","1","1","1","5","13","0.8"
"Gus Edwards","RB","BAL","0","0","0","3","0","1","1","2","0","1","2","1","bye","0","1","1","0","0","13","0.8"
"Andrew Beck","TE","HOU","0","0","0","1","0","0","bye","1","2","-","0","1","2","1","1","2","-","2","13","0.9"
"Marquise Goodwin","WR","CLE","2","2","0","1","bye","2","2","0","2","-","-","-","-","0","1","1","0","-","13","1.1"
"Keelan Doss","WR","LAC","-","-","-","0","bye","0","0","-","-","-","-","-","-","-","-","-","8","5","13","2.6"
"MyCole Pruitt","TE","ATL","0","0","1","1","1","2","0","2","0","0","bye","0","1","2","0","0","1","1","12","0.7"
"C.J. Uzomah","TE","NYJ","0","0","1","1","2","1","bye","1","5","1","0","0","0","-","-","-","-","-","12","1.0"
"Mitchell Wilcox","TE","CIN","0","0","3","1","0","0","bye","0","0","1","0","1","1","1","2","1","1","0","12","0.7"
"D'Ernest Johnson","RB","JAC","0","1","2","0","0","0","0","0","bye","2","1","2","1","3","0","0","0","0","12","0.7"
"Joshua Kelley","RB","LAC","1","1","1","0","bye","2","0","0","1","0","0","2","3","0","1","0","0","0","12","0.7"
"River Cracraft","WR","MIA","5","2","1","-","-","-","-","-","-","bye","0","0","2","0","0","-","1","1","12","1.2"
"Cam Akers","RB","MIN","0","-","-","2","2","1","3","1","3","-","-","-","bye","-","-","-","-","-","12","1.7"
"Ben Skowronek","WR","LAR","2","1","1","0","1","0","0","1","0","bye","0","1","3","0","0","0","0","2","12","0.7"
"Ty Montgomery II","RB","NE","3","1","0","0","4","1","0","0","0","0","bye","1","0","2","-","-","-","-","12","0.9"
"Cordarrelle Patterson","RB","ATL","-","-","-","0","1","1","0","0","1","2","bye","0","2","0","3","2","0","0","12","0.9"
"Darrynton Evans","RB","MIA","-","-","-","-","-","1","3","4","2","2","-","0","-","-","-","-","-","-","12","2.0"
"Davis Allen","TE","LAR","0","-","-","0","0","0","0","0","0","bye","0","1","0","5","1","0","0","4","11","0.7"
"Justyn Ross","WR","KC","1","0","1","0","4","0","0","-","-","bye","-","-","-","-","-","1","0","4","11","1.1"
"Geoff Swaim","TE","ARI","0","0","0","1","2","0","1","0","0","2","2","0","2","bye","1","-","-","-","11","0.8"
"Kendre Miller","RB","NO","-","-","1","1","4","2","0","1","1","-","bye","-","-","-","-","-","-","1","11","1.4"
"Keaton Mitchell","RB","BAL","-","-","-","-","-","-","1","-","1","2","1","2","bye","2","2","-","-","-","11","1.6"
"Israel Abanikanda","RB","NYJ","-","-","-","-","-","-","bye","-","-","-","2","0","-","0","2","0","7","0","11","1.6"
"Darnell Washington","TE","PIT","0","0","0","1","2","bye","0","0","1","1","1","1","0","2","0","1","0","0","10","0.6"
"Marvin Jones Jr.","WR","DET","6","0","0","1","2","1","-","-","bye","-","-","-","-","-","-","-","-","-","10","1.7"
"Laviska Shenault Jr.","WR","CAR","2","0","1","1","0","3","bye","-","-","-","2","1","-","-","-","-","-","-","10","1.3"
"Ihmir Smith-Marsette","WR","CAR","0","0","0","0","0","0","bye","0","0","0","0","1","0","1","2","1","3","2","10","0.6"
"Tony Jones Jr.","RB","ARI","0","2","4","0","-","-","-","-","3","0","1","-","-","bye","-","-","-","-","10","1.4"
"Brenton Strange","TE","JAC","0","0","2","0","1","3","0","0","bye","1","0","0","-","-","-","0","2","0","9","0.6"
"Blake Bell","TE","KC","3","0","0","0","0","0","1","1","0","bye","0","0","0","0","1","1","0","2","9","0.5"
"Charlie Kolar","TE","BAL","1","-","-","0","-","0","0","0","0","0","1","0","bye","0","1","1","1","4","9","0.6"
"Devin Duvernay","WR","BAL","0","3","1","2","1","0","0","0","2","0","0","0","bye","0","-","-","-","-","9","0.7"
"Mike Boone","RB","HOU","4","-","0","0","0","0","bye","1","0","3","1","-","-","-","-","-","-","-","9","1.0"
"Ian Thomas","TE","CAR","0","0","1","1","2","-","bye","-","-","-","0","1","1","0","-","0","1","2","9","0.8"
"Trayveon Williams","RB","CIN","0","2","2","0","0","2","bye","0","0","1","0","0","0","1","1","0","0","0","9","0.5"
"Charlie Jones","WR","CIN","0","0","2","-","-","-","bye","-","-","-","0","0","0","0","3","1","0","3","9","0.8"
"Keith Kirkwood","WR","NO","1","1","1","0","1","0","0","-","-","-","bye","3","0","0","1","1","0","-","9","0.7"
"C.J. Ham","RB","MIN","3","0","1","0","0","0","0","1","0","0","0","3","bye","0","0","1","0","0","9","0.5"
"Rakim Jarrett","WR","TB","0","1","0","1","bye","0","2","3","0","0","2","-","-","-","-","-","-","-","9","0.9"
"DeeJay Dallas","RB","SEA","1","0","1","1","bye","1","1","0","0","0","1","1","2","0","0","0","0","0","9","0.5"
"Julian Hill","TE","MIA","-","-","1","0","0","0","0","2","0","bye","1","0","2","0","0","0","1","2","9","0.6"
"Tyler Goodson","RB","IND","-","-","-","-","-","-","-","-","-","-","bye","-","2","1","2","2","0","2","9","1.5"
"Pierre Strong Jr.","RB","CLE","0","1","0","0","bye","0","0","1","1","0","1","0","0","0","2","1","0","1","8","0.5"
"Elijah Mitchell","RB","SF","1","-","3","-","-","0","0","1","bye","0","0","1","0","-","-","-","0","2","8","0.7"
"Jack Stoll","TE","PHI","0","0","2","0","1","0","0","0","0","bye","2","2","0","0","0","0","0","1","8","0.5"
"Josiah Deguara","TE","GB","0","2","0","4","1","bye","0","0","1","0","0","-","-","0","0","0","0","0","8","0.5"
"Jason Brownlee","WR","NYJ","-","-","-","-","-","-","bye","0","-","-","0","2","0","-","-","3","2","1","8","1.1"
"D.J. Montgomery","WR","IND","-","-","-","-","-","-","-","-","-","-","bye","0","0","0","4","4","0","0","8","1.1"
"Patrick Ricard","RB","BAL","0","0","0","1","0","1","2","0","0","1","0","0","bye","0","0","1","1","0","7","0.4"
"Jimmy Graham","TE","NO","0","0","1","0","1","0","0","-","-","-","bye","-","1","2","2","0","0","0","7","0.5"
"Brycen Hopkins","TE","LAR","2","0","0","1","0","0","1","0","0","bye","0","-","-","0","0","0","0","3","7","0.5"
"Kayshon Boutte","WR","NE","4","-","-","-","-","-","-","-","-","1","bye","2","-","-","-","0","-","0","7","1.4"
"DeAndre Carter","WR","LV","1","1","1","0","1","1","0","0","1","0","0","0","bye","0","0","0","0","1","7","0.4"
"Gary Brightwell","RB","NYG","2","0","3","2","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","7","1.8"
"Eric Gray","RB","NYG","0","0","0","0","1","0","0","-","-","-","0","0","bye","0","4","0","1","1","7","0.5"
"Deuce Vaughn","RB","DAL","0","3","-","1","1","-","bye","0","-","1","-","-","-","-","-","-","1","-","7","1.0"
"Peyton Hendershot","TE","DAL","1","0","1","-","-","-","bye","-","-","-","-","-","-","0","1","2","1","1","7","0.9"
"Velus Jones Jr.","WR","CHI","-","0","0","0","0","1","1","2","1","-","-","0","bye","1","0","1","0","0","7","0.5"
"Dare Ogunbowale","RB","HOU","-","0","-","-","-","-","bye","-","0","0","0","-","1","2","1","3","0","0","7","0.7"
"Austin Trammell","WR","LAR","-","0","-","0","0","0","0","0","1","bye","6","0","0","0","0","0","0","0","7","0.5"
"Raheem Blackshear","RB","CAR","-","-","-","-","-","1","bye","2","1","1","0","-","0","2","0","0","0","0","7","0.6"
"Payne Durham","TE","TB","-","-","-","-","bye","1","1","1","0","0","2","1","0","0","0","1","0","0","7","0.5"
"Ty Johnson","RB","BUF","-","-","-","-","-","-","0","-","0","0","3","0","bye","2","1","-","0","1","7","0.8"
"David Moore","WR","TB","-","-","-","-","bye","-","-","-","-","-","-","1","0","1","2","1","1","1","7","1.0"
"Ben Sims","TE","GB","0","0","0","0","1","bye","1","0","0","-","0","1","1","0","1","0","1","0","6","0.4"
"Jalen Nailor","WR","MIN","0","0","-","-","-","-","-","-","-","1","0","0","bye","5","-","-","-","-","6","1.0"
"Deon Jackson","RB","NYG","6","-","-","-","-","-","-","-","0","-","-","-","bye","-","-","-","-","-","6","3.0"
"Boston Scott","RB","PHI","1","0","-","-","-","1","0","1","-","bye","0","1","1","0","0","0","-","1","6","0.5"
"Britain Covey","WR","PHI","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","1","-","5","6","0.4"
"Khari Blasingame","RB","CHI","1","0","0","0","0","1","1","1","0","-","0","0","bye","1","0","0","1","0","6","0.4"
"Isaiah Spiller","RB","LAC","-","0","0","2","bye","0","-","1","-","-","-","-","-","0","0","1","2","-","6","0.7"
"Jalen Brooks","WR","DAL","-","0","-","-","-","0","bye","-","-","4","0","1","-","-","-","-","0","1","6","0.9"
"Chris Conley","WR","SF","-","-","0","-","-","-","0","-","bye","-","-","-","0","0","0","0","0","6","6","0.8"
"Robbie Chosen","WR","MIA","-","-","1","1","0","0","-","-","-","bye","2","-","-","-","0","1","1","0","6","0.7"
"Trey Sermon","RB","IND","-","-","2","0","0","1","-","-","0","0","bye","0","1","0","0","0","2","-","6","0.5"
"Equanimeous St. Brown","WR","CHI","-","-","-","1","1","-","-","-","-","1","2","0","bye","-","-","-","0","1","6","0.9"
"Marcedes Lewis","TE","CHI","0","0","0","1","0","0","1","0","0","0","1","0","bye","1","0","1","0","0","5","0.3"
"Ko Kieft","TE","TB","3","0","0","0","bye","0","0","0","0","0","0","0","0","1","1","0","-","0","5","0.3"
"Ronnie Rivers","RB","LAR","0","1","0","2","0","1","-","-","-","bye","-","-","-","-","-","0","1","0","5","0.6"
"Lawrence Cager","WR","NYG","2","-","-","0","-","0","-","-","0","2","0","0","bye","0","1","-","-","-","5","0.6"
"Emanuel Wilson","RB","GB","-","0","1","-","0","bye","2","-","0","0","2","-","-","-","-","-","-","-","5","0.7"
"Craig Reynolds","RB","DET","-","1","0","0","0","2","1","1","bye","0","0","0","0","0","0","0","-","0","5","0.3"
"Nate Adkins","TE","DEN","-","0","1","2","1","-","1","0","bye","-","0","0","-","-","-","-","0","0","5","0.5"
"Ke'Shawn Vaughn","RB","TB","-","-","-","1","bye","2","1","0","1","-","-","-","-","-","-","-","-","-","5","1.0"
"La'Mical Perine","RB","KC","-","-","-","-","-","-","-","-","1","bye","-","0","-","-","-","0","0","4","5","1.0"
"James Proche II","WR","CLE","-","-","-","-","bye","-","-","-","0","1","0","0","0","0","0","0","0","4","5","0.5"
"Miles Boykin","WR","PIT","0","1","0","0","1","bye","-","0","1","0","0","0","0","0","0","1","0","0","4","0.3"
"Grant Calcaterra","TE","PHI","0","0","0","0","0","0","0","0","-","bye","0","-","0","0","-","2","0","2","4","0.3"
"Hunter Luepke","RB","DAL","0","0","1","0","0","0","bye","1","1","0","0","0","0","0","0","1","0","0","4","0.2"
"Nick Chubb","RB","CLE","4","0","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","-","4","2.0"
"Keaontay Ingram","RB","ARI","0","0","1","-","-","2","-","1","0","0","-","-","-","bye","-","-","-","-","4","0.6"
"Tank Bigsby","RB","JAC","1","0","1","0","0","1","0","0","bye","1","0","0","0","0","0","-","0","0","4","0.3"
"Greg Dulcich","TE","DEN","2","-","-","-","-","2","-","-","bye","-","-","-","-","-","-","-","-","-","4","2.0"
"Chris Manhertz","TE","DEN","0","0","1","1","0","1","0","0","bye","1","0","0","0","0","0","0","0","-","4","0.3"
"Jordan Mason","RB","SF","-","0","0","1","1","0","0","0","bye","0","0","0","0","1","0","0","0","1","4","0.3"
"Trishton Jackson","WR","MIN","-","-","0","-","-","0","1","0","3","0","-","-","bye","-","-","-","-","-","4","0.7"
"Elijah Cooks","WR","JAC","-","-","-","-","-","0","0","0","bye","0","-","-","-","0","1","3","0","0","4","0.4"
"Malik Taylor","WR","NYJ","-","-","-","-","-","-","bye","0","2","2","-","-","-","-","-","-","-","-","4","1.3"
"Kenny Yeboah","TE","NYJ","-","-","-","-","-","-","bye","-","-","-","-","-","-","0","0","1","3","0","4","0.8"
"Nick Bawden","RB","NYJ","0","0","0","0","0","0","bye","0","1","0","0","1","0","0","0","-","1","0","3","0.2"
"Quintin Morris","TE","BUF","0","0","0","0","0","1","-","-","0","0","2","0","bye","0","0","0","0","0","3","0.2"
"J.K. Dobbins","RB","BAL","3","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","3","3.0"
"Teagan Quitoriano","TE","HOU","1","0","1","0","1","0","bye","0","-","-","-","-","-","-","-","-","-","-","3","0.4"
"Keith Smith","RB","ATL","0","0","0","0","1","0","1","0","-","0","bye","1","0","0","0","-","-","-","3","0.2"
"Charlie Woerner","TE","SF","0","0","0","0","0","0","0","0","bye","0","0","1","0","1","0","0","0","1","3","0.2"
"Adam Prentice","RB","NO","0","0","0","2","0","-","-","-","-","0","bye","0","0","0","0","0","1","0","3","0.2"
"Trevon Wesco","TE","TEN","0","1","0","0","1","0","bye","0","0","0","0","0","1","0","0","-","-","0","3","0.2"
"Michael Burton","RB","DEN","1","0","0","0","0","0","0","0","bye","0","0","0","0","1","0","1","0","0","3","0.2"
"Phillip Dorsett II","WR","DEN","1","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","2","-","3","1.5"
"Kenyan Drake","RB","GB","-","-","3","-","0","bye","-","-","-","-","-","-","-","-","0","-","-","-","3","1.0"
"Melvin Gordon III","RB","BAL","-","-","2","1","-","-","-","-","-","-","-","-","bye","-","-","-","0","0","3","0.8"
"Kevin Rader","TE","TEN","-","-","-","0","0","0","bye","0","0","0","0","0","0","0","0","0","1","2","3","0.2"
"Laquon Treadwell","WR","BAL","-","-","-","0","0","-","-","-","-","-","-","-","bye","-","-","-","0","3","3","0.8"
"Willie Snead IV","WR","SF","-","-","-","1","-","-","-","0","bye","0","-","-","-","-","-","2","-","-","3","0.8"
"Jashaun Corbin","RB","NYG","-","-","-","-","-","-","-","0","-","3","-","-","bye","-","-","-","-","0","3","1.0"
"Alex Armah Jr.","RB","WAS","-","-","-","-","-","-","-","1","0","1","-","-","-","bye","0","0","0","1","3","0.4"
"Eric Saubert","TE","HOU","-","-","-","-","-","-","bye","-","0","0","-","0","1","0","-","0","1","1","3","0.4"
"Mike Strachan","WR","CAR","-","-","-","-","-","-","bye","-","-","2","0","-","1","0","-","-","-","-","3","0.8"
"Steven Sims Jr.","WR","HOU","-","-","-","-","-","-","bye","-","-","-","2","0","-","-","1","-","-","-","3","1.0"
"Kevin Harris","RB","NE","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","0","0","2","1","3","0.8"
"Tyler Johnson","WR","LAR","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","3","3","3.0"
"James Mitchell","TE","DET","0","0","0","0","-","-","-","0","bye","0","0","0","0","0","0","0","1","1","2","0.1"
"Ross Dwelley","TE","SF","0","0","0","0","0","1","1","0","bye","0","0","0","0","-","-","-","-","-","2","0.2"
"David Wells","TE","TB","0","2","0","0","bye","-","-","-","-","-","-","-","-","-","-","-","0","-","2","0.4"
"Elijah Dotson","RB","LAC","0","2","0","0","bye","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.5"
"Jakob Johnson","RB","LV","0","0","0","2","0","0","0","0","-","-","-","-","bye","0","0","0","0","0","2","0.2"
"Anthony McFarland Jr.","RB","PIT","2","-","-","-","-","bye","-","-","-","0","0","-","-","-","-","-","-","-","2","0.7"
"Chris Rodriguez Jr.","RB","WAS","0","0","0","-","-","0","0","-","0","-","1","0","0","bye","0","1","-","-","2","0.2"
"Sean Tucker","RB","TB","2","0","0","0","bye","-","-","-","-","0","-","-","-","-","-","-","-","-","2","0.4"
"Trent Taylor","WR","CHI","0","0","-","0","0","1","0","0","0","0","0","1","bye","0","0","0","0","0","2","0.1"
"Damien Harris","RB","BUF","2","0","0","0","0","0","-","-","-","-","-","-","bye","-","-","0","-","-","2","0.3"
"Antoine Green","WR","DET","-","1","0","0","0","0","1","0","bye","0","-","-","-","-","-","-","-","0","2","0.2"
"Tylan Wallace","WR","BAL","-","0","-","-","-","-","-","-","0","-","0","0","bye","0","0","0","0","2","2","0.2"
"Royce Freeman","RB","LAR","-","-","0","0","-","-","0","0","1","bye","0","0","0","0","0","-","-","1","2","0.2"
"Amari Rodgers","WR","IND","-","-","-","0","0","2","-","-","-","-","bye","-","-","-","-","-","-","-","2","0.7"
"JaMycal Hasty","RB","JAC","-","-","-","2","0","-","-","-","bye","-","-","-","-","-","-","-","-","-","2","1.0"
"Colton Dowell","WR","TEN","-","-","-","1","-","0","bye","-","-","-","0","0","0","0","0","1","0","-","2","0.2"
"Simi Fehoko","WR","LAC","-","-","-","0","bye","-","-","2","0","0","0","-","-","-","-","-","-","-","2","0.4"
"Sean McKeon","TE","DAL","-","-","-","0","0","1","bye","1","0","0","0","0","0","-","-","-","-","-","2","0.2"
"Rodney Williams","TE","PIT","-","-","-","-","0","bye","0","2","0","0","0","0","0","0","0","0","0","0","2","0.2"
"Jordan Mims","RB","NO","-","-","-","-","0","0","-","-","-","-","bye","-","-","-","-","-","-","2","2","0.7"
"Damien Williams","RB","ARI","-","-","-","-","-","1","0","1","-","-","-","-","-","bye","-","-","-","-","2","0.7"
"Damiere Byrd","WR","ATL","-","-","-","-","-","-","-","-","2","-","bye","-","-","-","-","-","-","-","2","2.0"
"Juwann Winfree","WR","IND","0","-","-","-","-","-","-","1","0","0","bye","-","-","-","-","-","-","-","1","0.3"
"Cody Thompson","WR","SEA","0","0","0","1","bye","0","0","-","-","-","-","-","-","-","-","-","-","-","1","0.2"
"Reggie Gilliam","RB","BUF","0","1","0","0","0","0","0","0","-","0","0","0","bye","0","0","0","0","0","1","0.1"
"Giovanni Ricci","TE","CAR","1","0","-","0","-","0","bye","-","0","-","-","-","-","0","-","-","-","-","1","0.2"
