"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jameis Winston","CLE","44.8","30.2","390.8","1.9","2.1","5.8","10.7","0.2","0.2","23.3"
"Mike White","MIA","83.0","49.8","439.3","2.1","3.1","12.3","16.1","0.1","0.8","23.2"
"Marcus Mariota","WAS","48.9","30.6","304.1","1.7","1.2","14.3","54.7","0.2","0.6","23.2"
"Tyler Huntley","CLE","48.3","30.3","281.7","1.8","1.0","18.0","59.0","0.1","0.4","23.1"
"Jarrett Stidham","DEN","56.6","32.2","378.5","2.3","1.9","4.6","11.0","0.0","0.3","22.9"
"Drew Lock","NYG","53.0","29.0","380.3","1.9","3.0","6.0","16.5","0.0","0.5","20.5"
"Clayton Tune","ARI","78.0","46.7","383.3","1.3","3.1","10.0","25.8","0.3","0.9","19.9"
"Davis Mills","HOU","79.5","46.6","376.1","1.4","3.3","14.0","26.7","0.1","0.6","19.3"
"Stetson Bennett","LAR","54.9","34.4","350.7","1.4","2.0","7.9","20.4","0.1","0.7","18.9"
"Malik Cunningham","BAL","94.9","55.8","515.1","0.0","5.3","20.6","42.5","0.2","1.5","17.8"
"Tim Boyle","HOU","111.0","63.4","460.8","1.2","6.0","27.0","23.8","0.0","0.9","17.6"
"C.J. Beathard","JAC","56.6","33.0","324.5","1.2","2.4","11.6","24.2","0.0","0.5","17.1"
"Malik Willis","TEN","84.6","50.7","360.2","0.1","2.8","19.4","47.1","0.1","0.9","15.4"
"Case Keenum","HOU","146.2","74.2","414.0","0.7","3.0","15.9","1.7","0.0","1.0","14.6"
"Jeff Driskel","CLE","0.0","0.0","175.1","1.0","0.6","0.0","29.8","0.2","0.1","14.5"
"Jaren Hall","MIN","85.6","49.9","363.2","0.8","3.2","14.4","20.9","0.0","1.3","13.9"
"Sean Clifford","GB","55.2","33.8","267.1","1.1","1.6","4.0","8.3","0.1","0.5","13.9"
"Kyle Allen","BUF","45.3","28.1","300.5","1.3","3.7","8.0","20.9","0.2","1.6","13.4"
"Cooper Rush","DAL","32.0","20.1","197.4","1.1","1.0","2.9","4.3","0.0","0.1","11.6"
"Blaine Gabbert","KC","21.7","13.4","157.4","1.3","2.7","13.5","28.5","0.0","0.4","10.8"
"Trey Lance","DAL","37.3","22.2","167.9","0.4","1.7","10.2","22.4","0.1","0.4","8.3"
"Jake Haener","NO","31.1","18.8","183.8","0.5","2.4","9.6","20.1","0.1","0.7","8.2"
"Tanner McKee","PHI","42.4","25.1","172.3","0.4","1.7","9.7","14.4","0.1","0.5","7.6"
