"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Rico Dowdle","DAL","82.2","344.4","1.8","8.9","96.1","0.6","0.2","67.1"
"Kendre Miller","NO","74.8","277.9","1.3","16.0","135.5","0.5","0.7","67.1"
"Chase Edmonds","TB","66.8","244.8","0.9","17.8","133.4","0.5","0.4","63.7"
"Latavius Murray","BUF","68.2","287.7","2.1","10.7","77.9","0.2","0.0","60.7"
"Chase Brown","CIN","59.0","222.6","1.0","15.2","139.7","0.6","0.7","60.0"
"Justice Hill","BAL","40.4","254.6","1.6","12.9","93.4","0.4","0.6","58.6"
"Keaontay Ingram","KC","84.0","276.6","1.3","12.8","90.1","0.2","0.4","58.1"
"Zamir White","LV","59.2","291.3","1.8","10.9","55.7","0.2","0.5","56.3"
"Deon Jackson","NYG","67.6","192.2","1.1","17.7","104.2","0.7","1.2","55.9"
"Matt Breida","NYG","63.1","253.7","1.1","12.5","91.9","0.2","0.7","53.3"
"Deuce Vaughn","DAL","66.6","229.0","1.1","12.5","93.2","0.5","0.6","52.6"
"Ameer Abdullah","LV","30.9","115.9","0.3","19.8","156.9","0.5","0.1","51.9"
"Craig Reynolds","DET","53.3","212.5","1.0","10.5","103.0","0.2","0.7","47.9"
"Trayveon Williams","CIN","60.7","245.3","0.8","10.8","73.8","0.3","0.9","47.4"
"Royce Freeman","LAR","70.0","291.5","1.1","1.0","68.5","0.1","0.2","43.3"
"Sean Tucker","TB","65.3","204.9","0.8","9.2","70.2","0.3","0.2","43.1"
"Isaiah Spiller","LAC","63.8","224.2","0.8","8.2","67.0","0.2","0.2","42.7"
"Jordan Mason","SF","59.1","267.6","1.3","2.6","41.0","0.1","0.2","41.6"
"Pierre Strong Jr.","CLE","45.3","211.9","1.0","6.8","62.4","0.2","0.4","40.6"
"Chris Rodriguez Jr.","WAS","38.4","188.6","1.3","7.1","53.5","0.2","0.4","39.6"
"Michael Carter","ARI","37.6","141.3","0.4","12.3","83.7","0.4","0.2","39.4"
"Kevin Harris","NE","54.7","155.1","0.7","10.1","87.5","0.2","0.2","39.0"
"Raheem Blackshear","CAR","36.4","117.5","1.0","11.6","80.8","0.2","0.4","38.3"
"JaMycal Hasty","NE","31.7","134.3","0.8","11.7","62.0","0.4","0.1","38.3"
"Evan Hull","IND","58.4","184.4","1.0","6.3","50.4","0.2","0.1","36.9"
"Kyle Juszczyk","SF","9.9","33.7","0.3","13.4","122.6","0.9","0.0","36.2"
"D'Ernest Johnson","JAC","41.5","179.5","0.4","6.5","78.4","0.0","0.0","35.2"
"Zach Evans","LAR","48.7","152.9","0.7","7.0","61.8","0.3","0.4","34.1"
"Tony Jones Jr.","ARI","68.0","151.9","1.0","7.0","52.9","0.0","0.0","33.5"
"Eric Gray","NYG","42.2","149.6","0.9","7.7","50.3","0.3","0.6","33.4"
"Patrick Taylor Jr.","GB","53.6","166.5","0.0","11.0","57.8","0.0","0.2","33.1"
"Myles Gaskin","MIN","46.3","126.6","0.6","7.4","56.2","0.3","0.2","30.7"
"Chris Evans","CIN","32.6","104.1","0.3","8.5","66.8","0.5","0.1","30.0"
"Darrynton Evans","BUF","0.0","121.0","1.0","7.0","49.0","0.0","0.0","30.0"
