"player_gsis_id","season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_first_name","player_last_name","player_jersey_number","player_short_name"
"00-0033572",2023,"REG","3, 7, 16","Jamal Agnew","WR","JAX",7.47911111111111,2.298645492141355,11.415333333333331,22.07048039912998,9,16,55.55555555555555,97.0,0,1.8266666666666669,3.1788655758879067,-1.35219890922124,"Jamal","Agnew",39,"J.Agnew"
"00-0033591",2023,"REG","0, 6, 8, 9, 10, 14, 15, 16","Noah Brown","WR","HOU",6.344447614885115,2.953746831558699,13.406212391774893,27.847025899541116,62,102,57.88555194805195,1106.0,4,7.208084415584414,3.9553235437518715,3.2527608718325425,"Noah","Brown",85,"N.Brown"
"00-0033857",2023,"REG","0, 1, 2, 4, 9, 14","JuJu Smith-Schuster","WR","NE",7.145322751322751,2.4164876002973705,7.047319993245526,16.19821257513683,49,78,62.42654508611955,476.0,1,3.7572940613026815,4.404274938647467,-0.6469808773447857,"John","Smith-Schuster",7,"J.Smith-Schuster"
"00-0033858",2023,"REG","0, 2, 3, 4, 5, 6, 9, 14, 16","Jonnu Smith","TE","ATL",6.738084175084175,3.824078417635574,5.467369047619048,11.968761426118734,88,121,74.82804232804233,1023.0,5,7.6708333333333325,5.696997085659213,1.9738362476741205,"Jonnu","Smith",81,"J.Smith"
"00-0033881",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18","Evan Engram","TE","JAX",6.280603655603656,3.3576647933438135,4.686472857389524,13.719007749940378,228,286,79.96563621563621,1926.0,8,4.7712082331248995,4.340201639878184,0.43100659324671614,"Evan","Engram",17,"E.Engram"
"00-0033885",2023,"REG","0, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19","David Njoku","TE","CLE",5.459711161208669,3.316315811924673,5.797090895264241,18.719400728149946,156,242,63.48965010985916,1741.0,12,7.696523746535651,5.492807152948271,2.2037165935873797,"David","Njoku",85,"D.Njoku"
"00-0033891",2023,"REG","0, 1, 2, 5, 13, 14, 15, 18","Zay Jones","WR","JAX",6.528592993754879,2.447623491715596,13.579291666666666,29.46167361686108,63,121,51.491815476190474,612.0,4,2.0929691876750707,2.087102449652981,0.005866738022089717,"Isaiah","Jones",7,"Z.Jones"
"00-0033895",2023,"REG","0, 3, 6, 13, 14, 15, 16, 17","Gerald Everett","TE","LAC",5.856486607142857,3.7969916391323175,3.5441939484126985,9.13708317829715,85,119,71.2251984126984,654.0,4,5.428672969187676,5.014764947675662,0.4139080215120138,"Gerald","Everett",7,"G.Everett"
"00-0033908",2023,"REG","0, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 19","Cooper Kupp","WR","LAR",7.263217321438252,3.350472376781776,8.205299514812673,28.132915799958212,122,198,60.83959899749373,1490.0,10,4.957588144905942,4.012628527883588,0.9449596170223542,"Cooper","Kupp",10,"C.Kupp"
"00-0033921",2023,"REG","0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20","Chris Godwin","WR","TB",6.943133824954108,2.9243659495119396,9.447847950295317,26.81293898857385,174,270,65.40122158543211,2133.0,5,4.6831365461847385,4.0964118991359575,0.5867246470487817,"Rod","Godwin",14,"C.Godwin"
"00-0033943",2023,"REG","0, 1, 2, 4, 5, 18, 19","Josh Reynolds","WR","DET",5.27956462585034,2.6712245151372858,10.759888605442175,32.974350556024916,66,102,67.97619047619048,1023.0,8,6.34727380952381,5.014333524577004,1.3329402849468057,"Joshua Dedmon-Reynolds","Reynolds",8,"J.Reynolds"
"00-0034054",2023,"REG","1","River Cracraft","WR","MIA",6.282,2.470368431989068,10.575999999999995,10.36212572503527,3,5,60.0,40.0,1,5.223333333333336,8.523638041602831,-3.300304708269495,"Tanner","Cracraft",85,"R.Cracraft"
"00-0034270",2023,"REG","0, 2, 3, 4, 5, 9, 10, 12, 13, 14, 15, 16, 17","Tyler Conklin","TE","NYJ",6.184612318840579,3.527300414032064,6.692200328407225,17.086760182021155,114,161,73.41543513957308,1182.0,0,4.547753497868253,4.251722451167273,0.29603104670097885,"Tyler","Conklin",83,"T.Conklin"
"00-0034272",2023,"REG","7, 13, 23","Marquez Valdes-Scantling","WR","KC",6.872666666666667,3.005273458454361,18.804666666666666,35.15403343867449,8,15,53.333333333333336,129.0,2,3.581111111111111,5.028441049073238,-1.4473299379621274,"Marquez","Valdes-Scantling",11,"M.Valdes-Scantling"
"00-0034348",2023,"REG","0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 15","Courtland Sutton","WR","DEN",6.138656655844156,2.921794755439155,12.803761303511303,42.75631236512313,111,165,69.25084175084176,1438.0,18,2.8520493173258,2.7514605125213234,0.10058880480447636,"Courtland","Sutton",14,"C.Sutton"
"00-0034351",2023,"REG","0, 2, 3, 5, 6, 7, 8, 15, 16, 17, 19","Dallas Goedert","TE","PHI",6.479127172344563,3.1472825080247557,5.120769263199986,13.8651329263406,112,156,73.54374206783845,1096.0,7,5.250176095091349,4.3115125301835855,0.9386635649077636,"Dallas","Goedert",88,"D.Goedert"
"00-0034364",2023,"REG","18","Jordan Akins","TE","CLE",5.49,3.8273712764402767,4.293333333333336,10.428305400372444,3,6,50.0,24.0,0,3.313333333333333,3.6975968633609377,-0.3842635300276051,"Jordan","Akins",84,"J.Akins"
"00-0034383",2023,"REG","0, 2, 5, 6, 8, 9, 10, 15, 16, 18, 20","Dalton Schultz","TE","HOU",5.948393196672608,3.229633125164192,8.35370179063361,20.083182813927696,112,164,67.681031090122,1205.0,8,3.9325980629539954,3.6461713378623766,0.28642672509161876,"Dalton","Schultz",86,"D.Schultz"
"00-0034386",2023,"REG","0, 2, 9, 11, 16, 23","Justin Watson","WR","KC",5.753900982615268,2.5519803986835705,15.53471794871795,36.16723999254757,42,83,52.57575757575757,660.0,5,2.7431367521367522,3.7721462908970302,-1.0290095387602782,"Justin","Watson",84,"J.Watson"
"00-0034418",2023,"REG","9, 16, 19","Cedrick Wilson","WR","MIA",5.403333333333333,2.2568017004880994,13.812190476190475,27.209929321758207,7,17,40.952380952380956,110.0,1,1.9444444444444446,2.2302468447990313,0.6864198218676356,"Cedrick","Wilson",11,"C.Wilson"
"00-0034419",2023,"REG","1, 4","Braxton Berrios","WR","MIA",4.0287500000000005,2.527087104296267,11.616666666666665,17.268680540477796,9,11,80.0,85.0,1,1.425833333333334,1.4466502592367183,-0.02081692590338445,"Braxton","Berrios",0,"B.Berrios"
"00-0034521",2023,"REG","0, 3, 8, 9, 10, 15","Allen Lazard","WR","NYJ",6.305948979591837,1.9097248887335407,11.096715419501132,20.92984276058803,35,77,43.378684807256235,451.0,1,2.4518357487922717,3.6220405860921336,-1.1702048372998621,"Allen","Lazard",10,"A.Lazard"
