"player_gsis_id","season","season_type","player_display_name","player_position","team_abbr","week"
"00-0036984",2023,"REG","Trey Sermon","RB","IND","15"
"00-0036997",2023,"REG","Javonte Williams","RB","DEN","0, 1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17"
"00-0037120",2023,"REG","Tyler Goodson","RB","IND","15"
"00-0037197",2023,"REG","Isiah Pacheco","RB","KC","0, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 16, 17, 19, 20, 21, 23"
"00-0037228",2023,"REG","Jaylen Warren","RB","PIT","0, 9, 10, 12, 15, 17"
"00-0037248",2023,"REG","James Cook","RB","BUF","0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
"00-0037256",2023,"REG","Rachaad White","RB","TB","0, 1, 2, 3, 4, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19"
"00-0037258",2023,"REG","Dameon Pierce","RB","HOU","0, 1, 2, 3, 4, 5, 6, 8, 13"
"00-0037263",2023,"REG","Tyler Allgeier","RB","ATL","0, 1, 2, 5, 6, 7, 9, 12, 15"
"00-0037267",2023,"REG","Jerome Ford","RB","CLE","0, 1, 2, 3, 6, 7, 9, 10, 11, 14, 16, 17"
"00-0037276",2023,"REG","Ty Chandler","RB","MIN","0, 10, 14, 15, 17, 18"
"00-0037299",2023,"REG","Keaontay Ingram","RB","ARI","6"
"00-0037525",2023,"REG","Jordan Mason","RB","SF","5"
"00-0037557",2023,"REG","Ronnie Rivers","RB","LAR","18"
"00-0037746",2023,"REG","Brian Robinson","RB","WAS","0, 1, 2, 3, 4, 6, 8, 9, 11, 12"
"00-0037840",2023,"REG","Kyren Williams","RB","LAR","0, 1, 2, 3, 4, 5, 6, 12, 13, 14, 15, 16, 17, 19"
"00-0038040",2023,"REG","Zamir White","RB","LV","0, 15, 16, 17, 18"
"00-0038045",2023,"REG","Isaiah Spiller","RB","LAC","15"
"00-0038098",2023,"REG","Pierre Strong","RB","CLE","8, 18"
"00-0038120",2023,"REG","Breece Hall","RB","NYJ","0, 1, 3, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18"
"00-0038134",2023,"REG","Kenneth Walker","RB","SEA","0, 1, 2, 3, 4, 6, 7, 10, 15, 16, 17, 18"
"00-0038396",2023,"REG","Eric Gray","RB","NYG","5"
"00-0038542",2023,"REG","Bijan Robinson","RB","ATL","0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18"
"00-0038551",2023,"REG","Kendre Miller","RB","NO","5, 18"
"00-0038555",2023,"REG","Tank Bigsby","RB","JAX","17"
"00-0038597",2023,"REG","Chase Brown","RB","CIN","18"
"00-0038611",2023,"REG","Chris Rodriguez","RB","WAS","15, 16"
"00-0038705",2023,"REG","Emari Demercado","RB","ARI","5, 7, 8"
"00-0039021",2023,"REG","Roschon Johnson","RB","CHI","12"
"00-0039032",2023,"REG","Tyjae Spears","RB","TEN","0, 13"
"00-0039040",2023,"REG","Devon Achane","RB","MIA","0, 3, 5, 13, 17, 18"
"00-0039139",2023,"REG","Jahmyr Gibbs","RB","DET","0, 3, 7, 8, 10, 12, 14, 15, 16, 17, 18, 21"
"00-0039165",2023,"REG","Zach Charbonnet","RB","SEA","0, 11, 12, 13"
